,tf_occurance,atri_degree_centrality,atri_out_centrality,atri_in_centrality,atri_betweenness_centrality,atri_closeness_centrality,atri_eigenvector_centrality,tri_degree_centrality,tri_out_centrality,tri_in_centrality,tri_betweenness_centrality,tri_closeness_centrality,tri_eigenvector_centrality,lrc_degree_centrality,lrc_out_centrality,lrc_in_centrality,lrc_betweenness_centrality,lrc_closeness_centrality,lrc_eigenvector_centrality,cor_degree_centrality,cor_out_centrality,cor_in_centrality,cor_betweenness_centrality,cor_closeness_centrality,cor_eigenvector_centrality,end_degree_centrality,end_out_centrality,end_in_centrality,end_betweenness_centrality,end_closeness_centrality,end_eigenvector_centrality,per_degree_centrality,per_out_centrality,per_in_centrality,per_betweenness_centrality,per_closeness_centrality,per_eigenvector_centrality,pro_degree_centrality,pro_out_centrality,pro_in_centrality,pro_betweenness_centrality,pro_closeness_centrality,pro_eigenvector_centrality,xyl_degree_centrality,xyl_out_centrality,xyl_in_centrality,xyl_betweenness_centrality,xyl_closeness_centrality,xyl_eigenvector_centrality,phl_degree_centrality,phl_out_centrality,phl_in_centrality,phl_betweenness_centrality,phl_closeness_centrality,phl_eigenvector_centrality,col_degree_centrality,col_out_centrality,col_in_centrality,col_betweenness_centrality,col_closeness_centrality,col_eigenvector_centrality
GAMMA-H2AX,10.0,0.8986486486486487,0.34459459459459457,0.5540540540540541,0.8243141561425986,0.0016070542377477038,0.11806416236972737,0.8054474708171206,0.1245136186770428,0.6809338521400778,0.8608341439688716,0.00235396359545899,0.13829307303276203,0.3845177664974619,0.1916243654822335,0.19289340101522842,0.9740226652648688,0.0006796031018194028,0.07574771049243699,0.6806387225548901,0.3193612774451098,0.3612774451097804,0.9005708582834332,0.002117489897250483,0.09121606848602028,0.9316239316239316,0.5242165242165242,0.40740740740740744,0.009507529507529507,0.0011847789506438,0.12263280924469286,1.0917225950782998,0.24384787472035793,0.8478747203579419,0.970350417832887,0.0011814514718446905,0.12269474159335433,0.4380841121495327,0.2675233644859813,0.1705607476635514,0.7104661966442586,0.0014319879847039647,0.07731783885503525,0.27446300715990457,0.12649164677804298,0.1479713603818616,0.14287264048600565,0.001023926784116425,0.0446538061531587,0.43853820598006643,0.28903654485049834,0.14950166112956811,0.24891791642942823,0.001108694056479242,0.06175428819849947,0.0780590717299578,0.02742616033755274,0.050632911392405056,0.31334237810719173,0.00039177857842342354,0.034391398169351044
CRF2,9.0,0.9729729729729729,0.4436936936936937,0.5292792792792793,0.987777845565656,0.0015524852451501404,0.12188728964148714,1.178988326848249,0.7392996108949417,0.4396887159533074,0.7980605544747081,0.0023582173553640734,0.15060715628444613,1.597715736040609,0.9263959390862944,0.6713197969543147,0.9631479821206277,0.0008161525128876092,0.12558936242396035,0.8502994011976047,0.25948103792415167,0.590818363273453,0.9912934131736528,0.002373753427422421,0.10398966009845656,0.6182336182336182,0.13675213675213677,0.4814814814814815,0.8785022385022384,0.0012221113036387807,0.10895085827853705,1.0604026845637584,0.4250559284116331,0.6353467561521252,0.9387094832515726,0.0009975332849593446,0.11939489122649301,0.24999999999999997,0.17990654205607476,0.07009345794392523,0.004213805541892113,0.0012559094578323189,0.06340257221258036,0.11217183770883056,0.10978520286396182,0.002386634844868735,0.0,0.0009851830172097184,0.025683531019294617,0.6877076411960134,0.3704318936877076,0.31727574750830567,0.6300573241717845,0.0013108165528297648,0.07501625234354299,0.7974683544303797,0.3343881856540084,0.46308016877637126,0.9399848065621395,0.0005974519861555658,0.11139613882671676
HMGB6,9.0,0.26126126126126126,0.20495495495495494,0.05630630630630631,0.002308177251743843,0.001400877608145498,0.062173433978854865,0.45136186770428016,0.2801556420233463,0.17120622568093385,0.0477261673151751,0.002043203797101067,0.1028267401632082,0.3781725888324873,0.3096446700507614,0.06852791878172589,0.5163039622288585,0.0007141489236026127,0.08306349052805712,0.22554890219560877,0.12375249500998003,0.10179640718562874,0.5042035928143713,0.00164188805299336,0.04830496086221277,0.358974358974359,0.2535612535612536,0.10541310541310542,0.8783964183964184,0.0011294887951963178,0.07814200429033831,0.8299776286353467,0.3378076062639821,0.49217002237136465,0.14805228679487567,0.0009339295110512008,0.11184991166942025,0.27686915887850466,0.1822429906542056,0.09462616822429906,0.0019456741542329343,0.0012470369211921367,0.06419873739307116,0.38902147971360385,0.25059665871121717,0.13842482100238665,0.009163992645967272,0.0013049247912889092,0.05692998043092768,0.29401993355481726,0.19102990033222592,0.10299003322259137,0.005635679183641881,0.0009932707425062146,0.048705135786845835,0.03375527426160337,0.01582278481012658,0.017932489451476793,0.0,0.00030467520287850476,0.01628732160261675
HAT1,9.0,0.40540540540540543,0.21621621621621623,0.1891891891891892,0.0028521749740711365,0.0012660046718326991,0.0743569218804708,0.05058365758754864,0.04669260700389105,0.0038910505836575876,0.0,0.0011956295438727605,0.019662532670729364,0.4555837563451776,0.1979695431472081,0.2576142131979695,0.4869887576674256,0.0006471585974457668,0.08860024333511017,0.34131736526946105,0.20359281437125748,0.13772455089820357,0.04431137724550899,0.0019236636808049588,0.06543057945183871,0.2706552706552707,0.16809116809116809,0.10256410256410257,0.1568905168905169,0.0011133521527696996,0.051109757840375775,1.2751677852348993,0.6800894854586129,0.5950782997762863,0.9161575425607689,0.001033913920173934,0.124248932016026,0.8516355140186915,0.5385514018691588,0.3130841121495327,0.8066554626441492,0.0015775745477096088,0.10437918068365298,0.4152744630071599,0.15035799522673032,0.2649164677804296,0.30835550581813614,0.0012826169991524779,0.06271750225333783,0.893687707641196,0.46345514950166117,0.43023255813953487,0.9671588327317151,0.0012671677593981815,0.08334429066131396,0.48206751054852315,0.24156118143459915,0.24050632911392403,0.02677119395470484,0.0005415001561597815,0.09398169922233508
GRP2B,9.0,0.2702702702702703,0.12387387387387387,0.1463963963963964,0.03895430419132451,0.0011623243387497394,0.06130033746888672,0.0,0.0,0.0,0.0,0.0,0.0,0.23604060913705582,0.053299492385786795,0.18274111675126903,0.7262446868207354,0.0005719954757340803,0.06642763222243599,0.32934131736526945,0.21556886227544908,0.11377245508982035,0.002698602794411178,0.0019678289090132137,0.06526504048182556,0.15954415954415954,0.12820512820512822,0.03133903133903134,0.002507122507122507,0.0011015168877189024,0.03614103453833891,0.5995525727069351,0.2975391498881432,0.30201342281879195,1.5048003129984652e-05,0.000892950428980109,0.09940627127253053,0.6121495327102803,0.42172897196261677,0.19042056074766353,0.6220678253265562,0.0015653152695729866,0.09376865461151813,0.7064439140811456,0.24343675417661098,0.4630071599045346,0.5723298808966439,0.00151322640848065,0.08237180031621727,0.8687707641196013,0.3355481727574751,0.5332225913621262,0.9669377173149954,0.0012946770969310783,0.08259317623917091,0.6729957805907173,0.41561181434599154,0.2573839662447257,0.28124345590561356,0.0005718634243110871,0.1096948941686414
HB-2,9.0,0.5045045045045045,0.32432432432432434,0.18018018018018017,0.6219012466190795,0.0013885071357294828,0.08859595338436971,0.04669260700389105,0.011673151750972763,0.03501945525291829,0.0,0.0010821999826713582,0.019842231173784853,0.6408629441624365,0.2893401015228426,0.3515228426395939,0.5737943356187798,0.000715121014146333,0.10210868619089236,0.7584830339321357,0.5029940119760479,0.2554890219560878,0.6191696606786428,0.002318484896310835,0.0971239652440017,0.5441595441595442,0.3874643874643875,0.1566951566951567,0.4357102157102157,0.0011388599962310942,0.09787918456050489,1.0805369127516777,0.5816554809843401,0.4988814317673378,0.8841604719053782,0.0010144002982536145,0.1208248502150268,0.308411214953271,0.1588785046728972,0.14953271028037382,0.41829534896431103,0.0013767479996939205,0.06486397354624333,0.6945107398568019,0.4319809069212411,0.26252983293556087,0.04641947676742301,0.0015174265868138578,0.07948976992549144,0.893687707641196,0.5897009966777409,0.30398671096345514,0.856015168517587,0.0013859049955356187,0.08585141363494765,0.5485232067510548,0.1350210970464135,0.4135021097046413,0.014824740798167877,0.0005300466572230098,0.10354056112132104
GATA19,8.0,1.1013513513513513,0.6351351351351351,0.46621621621621623,0.8954100827689992,0.0015543968057318955,0.12270485235540972,0.22957198443579768,0.042801556420233464,0.1867704280155642,0.018436892023346304,0.0015390708070252563,0.06313716313383354,0.5977157360406091,0.19543147208121825,0.4022842639593908,0.8630973496991079,0.0007132333929224252,0.09786269682158998,0.778443113772455,0.24550898203592814,0.5329341317365269,0.8949181636726548,0.0025289556497782987,0.09908475262169263,0.7207977207977209,0.1851851851851852,0.5356125356125356,0.9775498575498575,0.0013037002315950219,0.1164423933395431,0.465324384787472,0.11185682326621924,0.3534675615212528,0.8894974970154794,0.0009319908934944152,0.08612151496367959,0.04322429906542056,0.0397196261682243,0.003504672897196261,0.0,0.0007948024755703145,0.017884338807248167,0.0,0.0,0.0,0.0,0.0,0.0,0.2541528239202658,0.14451827242524917,0.10963455149501661,0.07572373839835048,0.0011342294727132993,0.04320517592419525,0.15400843881856538,0.1170886075949367,0.03691983122362869,0.2456057102375256,0.00042692678300144336,0.050822222367923484
HDA3,8.0,0.8108108108108109,0.08558558558558559,0.7252252252252253,0.9875999023854555,0.001709357154955184,0.11694756663115734,1.0233463035019454,0.14396887159533073,0.8793774319066148,0.9903635700389105,0.0026258808901571252,0.1482778886342696,0.43274111675126903,0.14720812182741116,0.28553299492385786,0.8675365553183392,0.0007165559284625726,0.08679298825917084,0.9161676646706586,0.32335329341317365,0.5928143712574849,0.9868143712574852,0.0026175211438121053,0.10572497241657629,0.8062678062678063,0.18803418803418803,0.6182336182336182,0.977012617012617,0.001466170665777524,0.12061571358664205,0.9865771812080537,0.21700223713646533,0.7695749440715883,0.9603836237597938,0.001072518025856401,0.11902938668741862,0.13200934579439252,0.09228971962616822,0.0397196261682243,0.35791659834945616,0.001249732256093574,0.0413862475299534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12236286919831223,0.06645569620253164,0.05590717299578059,0.1618357326489603,0.0004677976907919108,0.04440863999840845
MYB12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05058365758754864,0.04669260700389105,0.0038910505836575876,0.05284837062256809,0.0014222197011957932,0.02181592803461358,0.0,0.0,0.0,0.0,0.0,0.0,0.870259481037924,0.22155688622754488,0.6487025948103792,0.9691936127744512,0.0024131556568013236,0.10322915670168613,0.8917378917378918,0.14245014245014245,0.7492877492877493,0.913113553113553,0.0013954173028957087,0.12039289946156549,0.33109619686800895,0.16554809843400448,0.16554809843400448,0.012244058546764178,0.0009674248734147148,0.07273031854676182,0.3259345794392523,0.18107476635514017,0.14485981308411214,0.44782887905121055,0.0013150656758506754,0.0659652575062024,1.0190930787589498,0.5417661097852029,0.47732696897374705,0.9775382261250871,0.0017096730057195471,0.09322069990418091,0.5764119601328904,0.34053156146179403,0.23588039867109636,0.5308151972625911,0.0012388678555470903,0.0699300430865802,0.330168776371308,0.10126582278481011,0.22890295358649787,0.1499939850026065,0.0004977118335182109,0.07063467391587756
GATA9,7.0,0.3941441441441441,0.19369369369369369,0.20045045045045046,0.017575702112948163,0.0013892660626926472,0.08717915671796225,0.17509727626459143,0.12062256809338522,0.054474708171206226,0.0,0.0014265314932660911,0.054279370802414226,0.45177664974619286,0.2969543147208122,0.1548223350253807,0.43741735950309274,0.0007145854906673582,0.08532221474740014,0.25948103792415167,0.12574850299401197,0.1337325349301397,0.006287425149700599,0.0016967014458813953,0.05518593111237153,0.24216524216524218,0.1794871794871795,0.06267806267806268,2.442002442002442e-05,0.0011916183585849905,0.045710368154784686,0.19910514541387025,0.10514541387024608,0.09395973154362416,0.0,0.0007490236661311538,0.05243312412255358,0.14485981308411214,0.11915887850467288,0.02570093457943925,0.0,0.0011632880606193968,0.044466958411384566,0.7398568019093079,0.25298329355608595,0.48687350835322196,0.7392915462881547,0.001520725330612351,0.0850709190918417,0.6096345514950167,0.38372093023255816,0.22591362126245848,0.5026395652870908,0.0013107361871477039,0.07496477628173423,0.23206751054852318,0.07489451476793248,0.1571729957805907,0.4180935577150139,0.0004606310532147233,0.06351675220982628
