,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID
FBH4,9.21690577092161,0.0854472858312891,0.0156169417215673,0.311309771979378,0.0411687762021325,0,0,0,0,3.08255720825211,5.68080578693514,AT2G42280
LBD41,10.1562893088111,0.379637729617857,0.154816921327519,0,0.056226204456843,0.034139350253211,0.102615141930628,0,0,4.24962888369792,5.17922507752711,AT3G02550
WRKY26,6.08956508454425,0.163510243973567,0.00927938998645114,0,0,0.154740276425589,0.215891509636794,0,0,1.64784285352484,3.89830081099701,AT5G07100
WRKY33,6.83291023681447,0.466189163058231,0.205871271297937,0.553852837629007,0.294000501597903,0.0312962642928589,0.04176117008432,0,0,1.7714039797249,3.46853504912932,AT2G38470
RAP2.4,6.43730169224538,0.22312443315165,0.033721735448641,0.213625266381432,0.153915889193825,0.127748430858927,0.169710654224168,0.314807043928292,0.142573261787674,1.73070353363834,3.32737144363243,AT1G78080
AT3G57800,6.08336327685434,0.18974626135773,0,0,0,0.0741884098735945,0.125972114968311,0,0.407182871261684,2.09920010040809,3.18707351898493,AT3G57800
NAM,3.79313738817592,0.0229174199822945,0,0.112133792084661,0.0175485075364252,0,0.0265574242620997,0,0,0.451476498716448,3.162503745594,AT1G52880
AT1G76580,5.84721260854372,0.19579291270639,0.00342691832609123,0.0361450044208664,0.015863018658312,0.00228386693085828,0.00215983728914763,0,0.0104211237164838,2.54862905176965,3.03249087472592,AT1G76580
RAP2.1,5.77680396089297,0.0323437363623895,0,0.55697010996268,0.00893606734503761,0.0045708444905128,0.0170234611633041,1.24396318302761,0,0.881365197811553,3.03163136072989,AT1G46768
AT2G41835,3.87965965372136,0.131928153266907,0.0231708768922912,0,0.0105263157894737,0,0,0,0,1.02488247492632,2.68915183284637,AT2G41835
BZIP25,3.72594983172435,0.336051293903351,0.0957674473569741,0.0363879600906757,0.111317364706996,0.00680988632808427,0.00597566610195595,0,0.0589507760918358,0.593971326075331,2.48071811106915,AT3G54620
ARF10,3.76891761437787,0.251085809314707,0,0.118337754199823,0.0597267878874146,0,0,0.0197694111516415,0.0258340653281323,0.993883805801076,2.30027998069508,AT2G28350
RDUF1,3.76671081421195,0.313861549159423,0.0504084307490349,0.300161954796161,0.119111548563201,0,0.00215983728914763,0,0.0258777023209532,0.877671833867455,2.07745795746657,AT3G46620
AT3G25790,2.85056247344111,0.165788889473437,0.0511206519021137,0.356432163677174,0,0,0,0,0,0.844790040509569,1.43243072787882,AT3G25790
