,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID
JKD,8.23960847017258,0,0,5.35889439060119,2.72006132084766,0,0,0,0,0,0.160652758723733,AT5G03150
AT1G05710,6.12681767618416,0,0,4.4144236479111,1.6706307758029,0.0362393549394835,0.00552389753067405,0,0,0,0,AT1G05710
AT1G72210,4.39787016143705,0,0,3.32607684917867,0.910060582739832,0.00236011941229546,0,0,0,0,0.159372610106259,AT1G72210
AT2G38300,3.11037560866846,0,0,2.58595680038799,0.413422249196001,0,0,0,0,0,0.11099655908447,AT2G38300
JAZ6,2.03716417732339,0.145222628146781,0.0678333962910728,1.52280060541993,0.175564432466,0.0559746771520932,0.0483676081619423,0,0.00455611269445228,0,0.0168447169911161,AT1G72450
IDD4,1.74005023392047,0,0,1.34817372530303,0.379331909891403,0,0,0,0,0,0.0125445987260312,AT2G02080
LRP1,2.24339054182459,0,0,1.34743680195355,0.264705776639564,0.315998738448509,0.27526164816221,0,0,0,0.0399875766207649,AT5G12330
AT2G42660,1.53495203738715,0,0,1.33720576891845,0,0,0,0,0,0,0.1977462684687,AT2G42660
ERF15,1.83184053912068,0,0,0.930032857178754,0.89725910288189,0,0,0,0,0,0.00454857906003889,AT2G31230
GLK2,1.09714573336806,0,0,0.791132582515268,0.00287081339712918,0.078401208479615,0.169211120635667,0,0.0555300083403784,0,0,AT5G44190
ETR2,1.01275134833924,0.123573753479284,0,0.543954890098669,0.159645060394512,0,0.0028748909081575,0,0,0.0248929356263735,0.157809817832245,AT3G23150
AT3G18960,0.178097325423531,0,0,0.157046686343701,0,0.00520262499154319,0,0,0,0,0.0158480140882875,AT3G18960
AT2G46810,0.196865890998576,0,0,0.109681370190763,0.0173779113828353,0,0.00790961910546264,0,0,0,0.0618969903195154,AT2G46810
HSFC1,0.193513846853944,0,0,0.101184792219275,0,0.0496109870780056,0.0223214744083372,0,0,0,0.0203965931483263,AT3G24520
AT3G04450,0.0125023028024896,0,0,0.00997347480106101,0,0.00252882800142864,0,0,0,0,0,AT3G04450
