,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,ground,epi,stele,epilrc,rc
GATA2,30.6774728977749,7.85341305274587,5.53316103430168,2.4451137358291,1.38259306581689,0.501816757669633,0.0896760613994558,0.0593625151988883,0.462778785250976,10.4048627988217,1.94469509074075,AT2G45050,3.82770680164599,13.3865740870476,1.11363411951895,23.7914368858692,12.3495578895624
HAT7,32.3241470793403,7.05406481822402,5.62639881545829,8.99659812298894,4.91031527058878,0.0212202355244594,0,0,0,4.43306006285906,1.28248975369671,AT5G15150,13.9069133935777,12.6804636336823,0.0212202355244594,17.1135236965414,5.71554981655578
MYB23,17.4158349460821,7.9165047462387,3.14725288667138,1.0328958993,0.214463455017855,0,0,0,0,5.01108044467769,0.093637514176497,AT5G40330,1.24735935431786,11.0637576329101,0,16.0748380775878,5.10471795885419
CRF2,28.8817877884578,4.58797964634004,2.1755736081726,2.20961980548187,1.70007169438513,2.54559751585688,0.391099620271119,0.155104655202363,2.72435903927037,8.92519893576163,3.46718326771576,AT4G23750,3.90969149986701,6.76355325451264,5.81616083060073,15.6887521902743,12.3923822034774
ATS,17.6509681633271,5.1775124845863,4.08309219741389,1.12193312565788,0.820489844852261,0.0473445639672552,0,0,0,6.02849676662753,0.372099180222003,AT5G42630,1.94242297051014,9.26060468200018,0.0473445639672552,15.2891014486277,6.40059594684953
BT2,21.7165591252955,4.25507281047599,1.2292914839435,0.269280903019559,0.0105263157894737,0,0,0,0,9.18677053651124,6.76561707555577,AT3G48360,0.279807218809032,5.48436429441949,0,14.6711348309307,15.952387612067
NAI1,25.350401120635,3.35510951379008,0.367456996072308,1.25315936783334,0.0593013059317195,0,0,0,0,10.7691324374553,9.54624149955227,AT2G22770,1.31246067376506,3.72256650986239,0,14.4916989473177,20.3153739370076
CRF3,20.5645637599611,3.27450445293046,2.36187723360736,1.34299503965459,0.897433896187766,0.187727254825119,0.0232428346945466,0,0,8.64135435454074,3.83542869352054,AT5G53290,2.24042893584236,5.63638168653782,0.210970089519666,14.2777360410786,12.4767830480613
KDR,15.6363705661765,5.50850153097628,5.72027009864316,0.836563393701694,0.427781124945113,0.0951694743251471,0,0,0,2.99784893858348,0.0502360050016039,AT1G26945,1.26434451864681,11.2287716296194,0.0951694743251471,14.2266205682029,3.04808494358508
WER,20.0041456135621,5.10754063875331,2.64792622903623,2.26598645878441,1.96000982432078,1.38211374610205,0,0,0,5.97929957428054,0.661269142284804,AT5G14750,4.22599628310519,7.75546686778953,1.38211374610205,13.7347664420701,6.64056871656534
PLT1,22.9434159654175,3.57380550461875,0,2.59211779346501,1.95860507559211,0,0,0,0,9.28344297164373,5.53544462009794,AT3G20840,4.55072286905712,3.57380550461875,0,12.8572484762625,14.8188875917417
GATA4,18.2851837138138,5.51295948834814,2.39055129245494,2.8503033006186,2.11585510205596,0.206612653630927,0.0351147389496381,0.112146083029356,0.113605442176871,4.70342407479113,0.244611537758205,AT3G60530,4.96615840267457,7.90351078080308,0.467478917786792,12.6069348555942,4.94803561254934
SMB,19.125610946652,4.24334879250875,0,1.58206588400137,0.177682110154435,0,0,0,0,7.80728922081825,5.31522493916918,AT1G79580,1.75974799415581,4.24334879250875,0,12.050638013327,13.1225141599874
BRON,19.0617571715492,2.93816754191667,0.903218087853524,1.84289559005362,0.959242937892302,0.0337798525133618,0,0,0,7.63924642762401,4.74520673369575,AT1G75710,2.80213852794592,3.8413856297702,0.0337798525133618,11.4806320573942,12.3844531613198
TMO7,20.4235562019308,5.32938047109826,2.5590399424723,3.17139599653775,0.573052345031512,0.741759598168475,0,0,0.00455611269445228,3.30491490117653,4.73945683475147,AT1G74500,3.74444834156926,7.88842041357056,0.746315710862928,11.1933353147471,8.044371735928
ERF9,15.8752762992951,3.29780119786502,1.30315791831882,1.55821836554189,0.177176438431051,1.0324924927992,0.0397659017403358,1.52275918750478,0.0622448979591837,5.87370517775357,1.00795472138125,AT5G44210,1.73539480397294,4.60095911618384,2.6572624800035,10.4746642939374,6.88165989913482
LBD15,18.810273620657,1.91536509249648,0.00796903460837887,0.617619533905128,0,0,0,2.30414674800104,0,8.50116160765261,5.4640116039934,AT2G40470,0.617619533905128,1.92333412710486,2.30414674800104,10.4244957347575,13.965173211646
ATHB13,13.4107523018227,3.89415528430198,3.69945421981375,1.35234573251701,1.25168150636153,0.670197321021206,0.352521349114409,0,0.318160955207927,1.82953990307063,0.0426960304143047,AT1G69780,2.60402723887854,7.59360950411573,1.34087962534354,9.42314940718636,1.87223593348493
RITF1,17.5733488890216,3.93137248644671,1.65250491158796,2.48425320972276,1.92087708293397,1.9199951865965,0,0,0,3.62025864181864,2.04408736991503,AT2G12646,4.40513029265673,5.58387739803467,1.9199951865965,9.20413603985331,5.66434601173367
AT1G26680,17.2035746400543,0.392703822161851,0,1.73518477745688,0,0,0,0,0,8.49613755938213,6.57954848105346,AT1G26680,1.73518477745688,0.392703822161851,0,8.88884138154398,15.0756860404356
NAC094,15.9916610108688,3.50205073023769,0,2.11854587786739,1.22356382929982,0,0,0,0,5.25598300380545,3.89151756965846,AT5G39820,3.34210970716721,3.50205073023769,0,8.75803373404315,9.14750057346391
ARR5,9.75929636268342,4.35875276034712,3.80574115748102,0.238071851499398,0.192309441981722,0.0149500328653655,0.167717646117894,0,0.168027210884354,0.489912867486887,0.323813394019664,AT3G48100,0.43038129348112,8.16449391782814,0.350694889867613,8.65440678531503,0.81372626150655
FEZ,16.902046614342,3.63567564157033,0,2.46283874117043,2.07276093407883,0,0,0,0,4.90900764513981,3.82176365238262,AT1G26870,4.53559967524926,3.63567564157033,0,8.54468328671014,8.73077129752243
GATA17L,14.9820287156759,2.72673636447365,1.72043141418067,1.95301143050327,1.39698574425818,2.0018454591928,0.100077006006469,0.0230805975334375,0,3.85644222207667,1.20341847745076,AT4G16141,3.34999717476145,4.44716777865432,2.1250030627327,8.30361000073099,5.05986069952744
NFL,10.8830941051969,3.63496826232036,2.6824744340084,1.26809259138259,1.10149537878133,0,0,0,0,1.92252439905233,0.273539039651876,AT5G65640,2.36958797016392,6.31744269632876,0,8.23996709538109,2.19606343870421
ATMYC1,9.808112325366,3.70117609246441,4.34305281983351,1.09504403054414,0.562222780128966,0.106616602394967,0,0,0,0,0,AT4G00480,1.6572668106731,8.04422891229793,0.106616602394967,8.04422891229793,0
EEL,12.2452189276564,2.79844074958516,0,1.45996537845139,0.380182802632965,0.0753264325823692,0,0,0,5.20912915845975,2.3221744059448,AT2G41070,1.84014818108436,2.79844074958516,0.0753264325823692,8.00756990804491,7.53130356440455
GATA17,12.6980199283756,3.15446188379532,1.96547717868214,1.71381978118032,1.72850710483727,1.27124371518817,0,0,0,2.64836081165546,0.216149453036883,AT3G16870,3.4423268860176,5.11993906247745,1.27124371518817,7.76829987413291,2.86451026469234
WRKY17,11.7523755170632,2.13930641601614,1.38513812766864,1.00726791113206,0.551276360521267,0.161257047100799,0.102304456427034,1.23415275329718,0.150082150661791,4.16203178081315,0.859558513425186,AT2G24570,1.55854427165333,3.52444454368478,1.64779640748681,7.68647632449792,5.02159029423833
ZFP5,14.7938537154353,2.26734634986586,0.152957279374277,0,0,0.0772579018171936,0.241142977113103,3.43745358003608,0.133673469387755,5.07875276552201,3.40526939231904,AT1G10480,0,2.42030362924014,3.88952792835414,7.49905639476214,8.48402215784104
AT1G22190,11.2324250519919,3.27800513712213,0.0423341192907171,1.29170094663313,0.149037345550802,0,0.0575881667474995,0.178196109084593,0.0231292517006802,4.03642862897973,2.17600534688264,AT1G22190,1.44073829218393,3.32033925641285,0.258913527532773,7.35676788539258,6.21243397586237
PLT2,13.3335916950689,2.36200614912776,0,1.77150120038438,1.12090931984718,0.057005615316961,0,0,0,4.97207426098979,3.05009514940285,AT1G51190,2.89241052023156,2.36200614912776,0.057005615316961,7.33408041011755,8.02216941039263
GATA19,13.9032953208334,4.46397014189402,0.277615836587464,2.00707536339065,1.93446767801011,1.43771888465911,0.0496842753734792,0,0.797265794052187,2.36695414215478,0.568543204711579,AT4G36620,3.94154304140077,4.74158597848148,2.28466895408477,7.10854012063626,2.93549734686635
ATCTH,9.78159756010967,1.29064363527088,1.4174564145803,0.400567153593815,0.151660516605166,0.167927086229465,0.0549246951593783,1.21953005440583,0.223747314329966,4.02172787197878,0.833412817956092,AT2G25900,0.552227670198981,2.70810004985118,1.66612915012464,6.72982792182996,4.85514068993487
TRY,8.88411246410892,4.41784935134698,0.63863608484932,1.31996849692665,0.75218230257445,0.0886678844462486,0,0,0.00895413491425668,1.65785420905101,0,AT5G53200,2.0721507995011,5.0564854361963,0.0976220193605053,6.71433964524731,1.65785420905101
GATA12,12.176409439661,1.81910371300417,4.49478752504216,0.108824049513705,0,0.261791106125359,0.30676432560381,4.28527568991278,0.407810048295902,0.400064128210205,0.0919888539529036,AT5G25830,0.108824049513705,6.31389123804633,5.26164116993785,6.71395536625654,0.492052982163108
RSL1,7.39076516021717,3.28965108758076,3.21992453398829,0.418898343763198,0.45708856989338,0.00520262499154319,0,0,0,0,0,AT5G37800,0.875986913656578,6.50957562156905,0.00520262499154319,6.50957562156905,0
AIL6,11.9823114450759,1.53425302936801,0,0.398196286472148,0.177586442531092,0,0,0,0,4.85031006221276,5.02196562449185,AT5G10510,0.57578272900324,1.53425302936801,0,6.38456309158078,9.87227568670461
SPT,11.817388122521,1.64841104169735,0,1.24716994012034,0.203225365586989,0.217050353118798,0.106310623959418,0.304844597947831,0.0459183673469387,4.45562836835724,3.58882946438609,AT4G36930,1.45039530570733,1.64841104169735,0.674123942372986,6.1040394100546,8.04445783274334
EGL3,8.38759348271176,3.39927159043513,2.39422405421644,1.47713150352947,1.008861334869,0.108104999661728,0,0,0,0,0,AT1G63650,2.48599283839846,5.79349564465157,0.108104999661728,5.79349564465157,0
ASL1,7.99353244980376,1.3863893416843,0.0518745671907789,0.347920617596112,0,0,0,0,0,3.9527673898275,2.25458053350508,AT5G66870,0.347920617596112,1.43826390887507,0,5.39103129870257,6.20734792333257
HMGB5,9.54547611888114,2.68700707915733,1.85803206607265,1.3754315848811,0.895016844453732,1.58176189446959,0.0407609693537185,0,0.0372721334200089,0.729069748831189,0.34112379824183,AT4G35570,2.27044842933483,4.54503914522998,1.65979499724331,5.27410889406117,1.07019354707302
WRKY27,5.21805179214642,2.56543910864327,0.175337063597409,0.0636251105216623,0,0,0,0,0,2.35173916042914,0.0619113489549423,AT5G52830,0.0636251105216623,2.74077617224068,0,5.09251533266982,2.41365050938408
AT1G68920,9.48060544984372,0.585071085990227,0,0.31154124765758,0.14788737332137,0,0,0,0.927260048173656,4.20580223097297,3.30304346372791,AT1G68920,0.45942862097895,0.585071085990227,0.927260048173656,4.7908733169632,7.50884569470089
