,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,ground,epi,stele,epilrc,rc
KDR,15.6363705661765,5.50850153097628,5.72027009864316,0.836563393701694,0.427781124945113,0.0951694743251471,0,0,0,2.99784893858348,0.0502360050016039,AT1G26945,1.26434451864681,11.2287716296194,0.0951694743251471,14.2266205682029,3.04808494358508
MYB23,17.4158349460821,7.9165047462387,3.14725288667138,1.0328958993,0.214463455017855,0,0,0,0,5.01108044467769,0.093637514176497,AT5G40330,1.24735935431786,11.0637576329101,0,16.0748380775878,5.10471795885419
ATS,17.6509681633271,5.1775124845863,4.08309219741389,1.12193312565788,0.820489844852261,0.0473445639672552,0,0,0,6.02849676662753,0.372099180222003,AT5G42630,1.94242297051014,9.26060468200018,0.0473445639672552,15.2891014486277,6.40059594684953
ARR5,9.75929636268342,4.35875276034712,3.80574115748102,0.238071851499398,0.192309441981722,0.0149500328653655,0.167717646117894,0,0.168027210884354,0.489912867486887,0.323813394019664,AT3G48100,0.43038129348112,8.16449391782814,0.350694889867613,8.65440678531503,0.81372626150655
ATMYC1,9.808112325366,3.70117609246441,4.34305281983351,1.09504403054414,0.562222780128966,0.106616602394967,0,0,0,0,0,AT4G00480,1.6572668106731,8.04422891229793,0.106616602394967,8.04422891229793,0
ATHB13,13.4107523018227,3.89415528430198,3.69945421981375,1.35234573251701,1.25168150636153,0.670197321021206,0.352521349114409,0,0.318160955207927,1.82953990307063,0.0426960304143047,AT1G69780,2.60402723887854,7.59360950411573,1.34087962534354,9.42314940718636,1.87223593348493
RSL1,7.39076516021717,3.28965108758076,3.21992453398829,0.418898343763198,0.45708856989338,0.00520262499154319,0,0,0,0,0,AT5G37800,0.875986913656578,6.50957562156905,0.00520262499154319,6.50957562156905,0
NFL,10.8830941051969,3.63496826232036,2.6824744340084,1.26809259138259,1.10149537878133,0,0,0,0,1.92252439905233,0.273539039651876,AT5G65640,2.36958797016392,6.31744269632876,0,8.23996709538109,2.19606343870421
GATA12,12.176409439661,1.81910371300417,4.49478752504216,0.108824049513705,0,0.261791106125359,0.30676432560381,4.28527568991278,0.407810048295902,0.400064128210205,0.0919888539529036,AT5G25830,0.108824049513705,6.31389123804633,5.26164116993785,6.71395536625654,0.492052982163108
EGL3,8.38759348271176,3.39927159043513,2.39422405421644,1.47713150352947,1.008861334869,0.108104999661728,0,0,0,0,0,AT1G63650,2.48599283839846,5.79349564465157,0.108104999661728,5.79349564465157,0
TRY,8.88411246410892,4.41784935134698,0.63863608484932,1.31996849692665,0.75218230257445,0.0886678844462486,0,0,0.00895413491425668,1.65785420905101,0,AT5G53200,2.0721507995011,5.0564854361963,0.0976220193605053,6.71433964524731,1.65785420905101
WRKY72,4.01793742691818,1.6768016236731,1.16332672375347,0,0,0,0,0,0,0.826636469289432,0.351172610202179,AT5G15130,0,2.84012834742657,0,3.666764816716,1.17780907949161
WRKY27,5.21805179214642,2.56543910864327,0.175337063597409,0.0636251105216623,0,0,0,0,0,2.35173916042914,0.0619113489549423,AT5G52830,0.0636251105216623,2.74077617224068,0,5.09251533266982,2.41365050938408
