,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,ground,epi,stele,epilrc,rc
MYB12,24.9903130098933,0.241105513562365,0.155912848749582,10.1105255252553,5.93936241221182,1.06015773056535,1.11287822439261,4.32086270736078,1.41308953889773,0.0194143809104571,0.617004127987365,AT2G47460,16.0498879374671,0.397018362311947,7.90698820121647,0.416432743222404,0.636418508897822
MYB3,13.9699937254513,0.609846414256474,0.0226710598507765,3.85248356152321,6.57827101325373,1.63838416264232,0.167072785683995,0.706097029978493,0.132993197278912,0.201219737993591,0.0609547629898191,AT1G22640,10.4307545747769,0.63251747410725,2.64454717558372,0.833737212100841,0.26217450098341
ARR3,11.3866182736324,0.312161999685474,0.0529177778009719,4.72919422830972,3.40853434532298,0.619778245008967,0.725112144450912,0,0.624981196682434,0.241675809326453,0.67226252704453,AT1G59940,8.1377285736327,0.365079777486446,1.96987158614231,0.606755586812898,0.913938336370982
AN3,9.29499047781652,0.760030068395772,0.0679841007949603,2.89514322006241,3.03261763792597,2.09248114929241,0.0876739052312747,0,0.0509832002730304,0.215306608414098,0.0927705874265962,AT5G28640,5.92776085798838,0.828014169190732,2.23113825479671,1.04332077760483,0.308077195840694
AtHB23,9.36419499973643,0.564035068962511,0.266474041837423,3.30633079291412,1.68667743683604,1.36788211234129,1.10941677908331,0.174874066354004,0.743953144449694,0.0636541038806152,0.0808974530774186,AT1G26960,4.99300822975016,0.830509110799935,3.3961261022283,0.89416321468055,0.144551556958034
GATA16,8.80332202691814,0.167631510181109,0,3.04103843338224,1.81470602698479,1.92413083231406,0.247701641067776,0.54901066322012,0.0414965986394557,0.251383147475139,0.766223173653449,AT5G49300,4.85574446036703,0.167631510181109,2.76233973524141,0.419014657656248,1.01760632112859
ULT1,7.45257494652413,0.280997371084137,0,2.55419626537048,2.08284710987923,1.31098458014123,0.164780229617777,0.105458572173007,0.0151003303815271,0.325720856644549,0.61248963123219,AT4G28190,4.63704337524971,0.280997371084137,1.59632371231354,0.606718227728686,0.93821048787674
HSFB4,5.09817552108603,0.103429214657581,0,2.13965900786212,2.15503628961162,0.357389407706139,0.174115558796394,0,0.145918367346939,0,0.0226276751052366,AT1G46264,4.29469529747374,0.103429214657581,0.677423333849472,0.103429214657581,0.0226276751052366
AT1G62975,5.86948223745361,1.65547108890088,0.154284912877332,2.02293197096659,1.401707440997,0.0814260139562811,0.0838704339265118,0.131135692087182,0.302474050580755,0.0361806331610803,0,AT1G62975,3.42463941196359,1.80975600177821,0.59890619055073,1.84593663493929,0.0361806331610803
AT5G57150,5.35624572422793,0.118672203167974,0,0.858277884174981,2.53162448154805,0.516855552638972,0.461826230893282,0,0.793736669608578,0.0415661569934474,0.0336865452026424,AT5G57150,3.38990236572303,0.118672203167974,1.77241845314083,0.160238360161421,0.0752527021960898
AT3G24120,3.96637885413157,1.10825268152778,0,1.64426771283078,0.912194901341592,0.167949362872099,0.0940997033511048,0,0.0159476933773768,0.00848597535054257,0.0151808234803008,AT3G24120,2.55646261417237,1.10825268152778,0.277996759600581,1.11673865687832,0.0236667988308434
HB5,4.01712366025281,0.0402488747023104,0,1.66474311523938,0.876504335075175,0.390854613040099,0.527293805594073,0,0.51238434512785,0,0.00509457147392744,AT5G65310,2.54124745031455,0.0402488747023104,1.43053276376202,0.0402488747023104,0.00509457147392744
AT1G63100,3.78487773937737,0.482550720169023,0.021936403179841,1.63220352814126,0.636189537044422,0.0668899262566809,0,0,0,0.945107624586146,0,AT1G63100,2.26839306518568,0.504487123348864,0.0668899262566809,1.44959474793501,0.945107624586146
SCL3,4.12975258713981,0,0,0.45895004183353,1.76000289275403,0.342801211577678,0.128740187259967,0,0,0.109564975000729,1.32969327871387,AT1G50420,2.21895293458756,0,0.471541398837645,0.109564975000729,1.4392582537146
AT3G61420,3.48461532964863,1.15104176189501,0.229900918915164,1.42523023938839,0.593101771184935,0.0215018443054021,0.0148223316309398,0,0,0.0139609533022602,0.0350555090265349,AT3G61420,2.01833201057333,1.38094268081017,0.0363241759363419,1.39490363411243,0.0490164623287951
MYB34,3.16752207537619,0,0,0.807635349043821,0.838790229044541,0.586069171573553,0.625573288104303,0,0.237965007651178,0.0714890299587927,0,AT5G60890,1.64642557808836,0,1.44960746732903,0.0714890299587927,0.0714890299587927
AT4G36860,2.76982590012955,0.0372000865623303,0,0.547372656864148,0.965404915366217,0.0864309391766983,0.0481984408336827,0.450365599649972,0.266761683337926,0.0267157798283837,0.341375798510191,AT4G36860,1.51277757223037,0.0372000865623303,0.85175666299828,0.063915866390714,0.368091578338575
COL4,2.12691860338736,0.0824066622312516,0.00685383665218246,0.990669478315899,0.379629921505626,0.0678721141594733,0.0400709952047312,0,0,0.0763388545207383,0.483076740797457,AT5G24930,1.37029939982153,0.0892604988834341,0.107943109364204,0.165599353404172,0.559415595318195
OFP12,2.19710410663181,0.707114872959109,0.114515300915737,0.906719430195529,0.371763230684629,0,0,0,0,0.0796676537008235,0.0173236181759857,AT1G05420,1.27848266088016,0.821630173874847,0,0.90129782757567,0.0969912718768092
AT4G28030,2.11776436731117,0.280740112938036,0.559077779798526,1.02600317544394,0.20719745179181,0,0,0,0,0.00804764083371459,0.0366982065051437,AT4G28030,1.23320062723575,0.839817892736562,0,0.847865533570277,0.0447458473388583
HB6,2.0780561965071,0.0277177047289504,0.0570320024710697,0.702893730212728,0.423763158947141,0.0870778024944148,0.0874244481342859,0,0.0910047918802257,0.199154386033065,0.401988171605217,AT2G22430,1.12665688915987,0.0847497072000201,0.265507042508926,0.283904093233085,0.601142557638282
3xHMG-box1,1.63369046647772,0.13488662767439,0.111669416529174,0.690068892837562,0.347645463520107,0.102381435626818,0,0,0,0.21296749491249,0.0340711353771825,AT4G11080,1.03771435635767,0.246556044203564,0.102381435626818,0.459523539116053,0.247038630289672
LCL1,1.69906218400037,0.0117302902160691,0,0.43878391176131,0.50789186293841,0.162660742231248,0.366807280984447,0.0483388665206847,0.0182244507778091,0,0.144624778570388,AT5G02840,0.946675774699721,0.0117302902160691,0.596031340514189,0.0117302902160691,0.144624778570388
ZFN1,1.59935994572391,0,0,0.625440064921747,0.253176523037759,0.0415877708883826,0.0664469554848642,0,0.0520847315056064,0.127920779743219,0.432703120142333,AT3G02830,0.878616587959506,0,0.160119457878853,0.127920779743219,0.560623899885552
AT5G58900,1.32316895770081,0.162424659647085,0.127262041739634,0.590260196225371,0.151094363652308,0.0034466576285327,0.00754776832363039,0,0.207962203529917,0.00666168322926743,0.0665093837250628,AT5G58900,0.741354559877679,0.289686701386719,0.21895662948208,0.296348384615987,0.0731710669543302
MYB14,1.15528168182478,0.181654122949161,0,0.474178187572209,0.153122113298406,0.0834057134488663,0.111064144022211,0.0989990446413062,0,0,0.0528583558926219,AT2G31180,0.627300300870615,0.181654122949161,0.293468902112383,0.181654122949161,0.0528583558926219
AT3G61180,1.04061724947604,0.0493167723645173,0.0812430238386345,0.370549511062899,0.251016618232609,0.0682763487737111,0.120640298491967,0.0397918579736761,0.0512575693009898,0,0.00852524943703956,AT3G61180,0.621566129295508,0.130559796203152,0.279966074540344,0.130559796203152,0.00852524943703956
GATA27,0.72537489957327,0,0.0801719984752855,0.18313589481405,0.300065348791307,0.0409231759974915,0.0577365783650145,0,0.0309087492202663,0,0.0324331539098551,AT5G47140,0.483201243605357,0.0801719984752855,0.129568503582772,0.0801719984752855,0.0324331539098551
TGA3,0.698561842264052,0.0837274354839559,0.033861981250406,0.322268390669428,0.0469464777654824,0,0,0,0.0750227404143864,0.0109801921533627,0.12575462452703,AT1G22070,0.369214868434911,0.117589416734362,0.0750227404143864,0.128569608887725,0.136734816680393
BIM3,0.591013528443337,0.0246589871254751,0.0515974201289936,0.226242263483643,0.125884925515922,0.060461807081869,0.0241978109799144,0,0,0.037090712684649,0.0408796014428711,AT5G38860,0.352127188999565,0.0762564072544687,0.0846596180617835,0.113347119939118,0.0779703141275201
AT5G43530,0.613324425174877,0.146254196064243,0.119769011549422,0.148824049513705,0.159122591225912,0.0393545768215953,0,0,0,0,0,AT5G43530,0.307946640739617,0.266023207613665,0.0393545768215953,0.266023207613665,0
NSI,0.478695659931397,0.0699042468154586,0.0796641294968976,0.127554031654649,0.127855363001974,0.0230292094811941,0.0247904833937076,0,0.00793557799947335,0,0.0179626180880429,AT1G32070,0.255409394656623,0.149568376312356,0.0557552708743751,0.149568376312356,0.0179626180880429
EPR1,0.428143458666925,0,0,0.118876082700213,0.130186440285632,0.0208616038845177,0.0171123624589929,0.0823779746395692,0,0.00787392805434904,0.0508550666436516,AT1G18330,0.249062522985845,0,0.12035194098308,0.00787392805434904,0.0587289946980007
