,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,GeneName
MYBC1,14.9104131458229,0,0,0.658602613390726,2.43537672285049,8.72219751739119,2.90627761986606,0,0.187958672324431,0,0,AT2G40970,MYBC1
AT4G29100,15.4262674069973,0,0,0.0424710424710425,0.180997735746421,7.75003970966031,5.13998591700693,0,2.31277300211257,0,0,AT4G29100,AT4G29100
NUC,6.13113863178149,0,0,0.418357653941649,0.0985752838144415,4.34553861850198,1.04180509934439,0,0.22686197617903,0,0,AT5G44160,NUC
MGP,4.89894588182349,0.252235745757536,0,0.204792612957584,0.109763012787924,3.69040419850523,0.633941497414227,0,0.00780881440099317,0,0,AT1G03840,MGP
AT3G21330,4.37929863181933,0.164061369915009,0,0.0919682403306324,0.153719056743968,3.39359728637337,0.575952678456354,0,0,0,0,AT3G21330,AT3G21330
LBD14,4.2722182438597,0,0,0.0162353533707616,0.0518849477924211,3.37129301826005,0.832804924436467,0,0,0,0,AT2G31310,LBD14
IDD11,4.79842980022384,0,0,0,0,3.20404575582813,1.59438404439571,0,0,0,0,AT3G13810,IDD11
AT2G20100,4.29588276397971,0,0,0,0.0326304378174577,2.82049079414448,1.26913958386777,0.173621948150012,0,0,0,AT2G20100,AT2G20100
GATA23,3.8566074905317,0,0,0,0.00787492625368732,2.67696633358803,1.17176623068998,0,0,0,0,AT5G26930,GATA23
AT2G14880,4.16782312760203,0.435774249553698,0.0411457617804643,0.355578553366432,0.28766461200798,2.26879846042105,0.778861490472401,0,0,0,0,AT2G14880,AT2G14880
SAP,2.74523806047117,0.128778955634079,0,0.256762671124312,0.0932794963044073,2.1446267795625,0.121790157845868,0,0,0,0,AT5G35770,SAP
LAS,0.510918718923073,0,0,0,0.0534616984979104,0.331094469766431,0.126362550658731,0,0,0,0,AT1G55580,LAS
DEL1,0.435764353482488,0.0483329725048712,0.0348025239868613,0.0215829469536492,0.0194486606593736,0.23401829656167,0,0.00250827179287179,0.0378354007668495,0.0372352802563412,0,AT3G48160,DEL1
BOP2,0.34399625873614,0,0,0,0.00307492625368732,0.209666598051598,0.131254734430855,0,0,0,0,AT2G41370,BOP2
AT1G78930,0.12300973921169,0,0,0,0.00286806883365201,0.0854752860081257,0.0346663843699126,0,0,0,0,AT1G78930,AT1G78930
AT4G31060,0.141886328913242,0,0,0,0,0.0726898489780977,0.0158843335313923,0,0.0254529864004821,0.0278591600032694,0,AT4G31060,AT4G31060
WOX14,0.100547285065242,0,0,0,0,0.0546159973582845,0.0434230159140856,0.00250827179287179,0,0,0,AT1G20700,WOX14
AT3G61550,0.0433345921450151,0,0,0,0,0.0433345921450151,0,0,0,0,0,AT3G61550,AT3G61550
PRR3,0.0266745509855305,0,0,0,0,0.0266745509855305,0,0,0,0,0,AT5G60100,PRR3
