,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID
APL,18.6229618312654,0,0,0,0,1.26590763930061,2.49592235434816,1.64153133199734,13.2196005056193,0,0,AT1G79430
OBP2,19.5573254227344,0,0,0,0,3.98901438536018,4.4301476784203,0,11.1381633589539,0,0,AT1G07640
AT3G12730,10.4310406823772,0,0,0,0,0.929487640223139,0.211938642377624,0,9.28961439977649,0,0,AT3G12730
DAR2,10.5373864075939,0,0,0,0,0.202522451811811,1.26377897310446,0.465563161074731,8.60552182160289,0,0,AT2G39830
AT2G03500,9.98534271643012,0,0,0,0,0.766498482944453,0.437397254261176,0.235024549918167,8.54642242930633,0,0,AT2G03500
DOF6,11.3168708770873,0,0,0,0,0.581244408696464,0.354212656988102,2.05378526989393,8.32762854150882,0,0,AT3G45610
NAC057,7.27960750596906,0,0,0,0,0.0506597195147761,0.163432842516299,0.520738835632452,6.54477610830554,0,0,AT3G17730
HCA2,7.13642231062239,0,0,0,0,0.141976234269036,0.138924580533282,0.482277297170914,6.37324419864915,0,0,AT5G62940
AT2G44940,9.11790879278309,0,0,0,0.0608901084189882,1.20217299634074,1.54730868480214,0,6.30753700322122,0,0,AT2G44940
AT5G41380,5.65606903472984,0,0,0,0,0.0165918483285621,0.0381719092183136,0,5.60130527718297,0,0,AT5G41380
AT2G28810,8.75862963307338,0,0,0,0,1.22816541203851,1.95353634525024,0.0263592148688553,5.55056866091578,0,0,AT2G28810
AT4G37180,6.47968021144328,0,0.0139717337918206,0,0.0418685968592465,0.179018066800897,0.245277121378808,0.176848120650023,5.43093194778786,0.09383004788952,0.297934576285102,AT4G37180
NAC020,5.67129957233688,0,0,0,0,0.0724109268179618,0.353897183281861,0,5.24499146223705,0,0,AT1G54330
AT1G49560,6.60569603623218,0.293077802434586,0,0.343413637238021,0.363703621696953,0.0104381533350469,0.143665939863257,0.3460426463779,4.60125753631054,0.219171300882049,0.284925398093827,AT1G49560
REM22,4.39198375313623,0,0,0,0,0.00352834371136088,0.163612007987748,0,4.22484340143713,0,0,AT3G17010
DOF2.4,7.51889106485566,0,0,0,0,1.21499930122037,2.12656503486733,0,4.17732672876796,0,0,AT2G37590
AT1G63820,5.25675751025649,0,0,0,0.00659981920116696,0.753516474487706,0.408906312642319,0,4.0877349039253,0,0,AT1G63820
AT5G02460,4.22933134498928,0,0,0,0,0.0862427547526027,0.19293855559772,0,3.95015003463896,0,0,AT5G02460
NAC2,4.42147281048559,0,0,0,0,0.192505456121553,0.279765561445694,0,3.94920179291835,0,0,AT3G15510
CRF1,5.46571285556394,0.321068728307505,0.0851207439628019,0.250185676392572,0.236845701790351,0.113509568028763,0.0975966103078339,0,3.88966378958432,0.359865947923115,0.111856089266679,AT4G11140
AT2G28510,7.22985004632667,0,0,0.0191688770999116,0.266916042508903,0.977086168314979,2.13093676383233,0.0461937641132534,3.78954843045729,0,0,AT2G28510
GATA20,3.73018360971316,0,0,0,0,0.0117295846189834,0.0633737506557571,0,3.65508027443842,0,0,AT2G18380
FLP,5.87004179873406,0.357160573424435,0,0.244350132625994,0.0443077764110974,0.0626899892900351,0.177747203716953,0,3.2531103926169,1.4417407278238,0.288935002824847,AT1G14350
AT5G63700,3.50447949961098,0,0,0.486348840979027,0,0,0.00817290415319061,0,2.8752198370897,0,0.134737917389057,AT5G63700
bZIP44,5.38547364370158,0.0570698112942765,0.0566604029926449,0.05859383585494,0.165572064157614,1.27809797739271,0.763682922117323,0.204511898558277,2.80128473133379,0,0,AT1G75390
AT1G26790,3.10800484992434,0,0,0,0,0.00946414846334644,0.56069498214707,0,2.53784571931392,0,0,AT1G26790
KNAT2,2.85811013352504,0,0,0.0407427055702917,0.286151816811729,0,0.06562325513405,0,2.46559235600897,0,0,AT1G70510
AT1G28310,4.3372161077518,0,0,0,0.638640042907176,0.439318278828979,0.974659200441478,0,2.28459858557417,0,0,AT1G28310
