,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,GeneName
MYB43,16.0630770433755,0,0,0,0.0184627901918578,4.87971400597882,8.04771448149596,0.240494234546321,2.87669153116251,0,0,AT5G16600,MYB43
ABO3,12.4181814667526,0.387111770969241,0.0720706915926039,0,0.067673474837344,4.01030526310246,7.29028761112147,0.174468836248189,0.416263818881272,0,0,AT1G66600,ABO3
TCP15,9.17707606950423,0,0,0,0,0.649598317924704,4.68184853415812,2.13787869603562,1.70775052138578,0,0,AT1G69690,TCP15
HAT9,5.49215124093693,0.0687002294506681,0,0.0144759450171822,0.0130739920150742,1.58526373764085,3.69955301328683,0,0.111084323526326,0,0,AT2G22800,HAT9
NAC001,5.58609715590564,0,0.00420214432953287,0.482473338616912,0.17960610753894,1.41598370120575,2.85957899529872,0.00625416734811982,0.637998701567667,0,0,AT1G01010,NAC001
ERF12,4.87112905843438,0,0,0,0.0121436257752619,1.68370494016231,2.81656723137078,0,0.358713261126023,0,0,AT1G28360,ERF12
IDD14,5.34330490029594,0,0,0.0107914734768246,0.00387266916530594,1.39340078280142,2.73413002341654,0.391099760312756,0.810010191123099,0,0,AT1G68130,IDD14
AT1G75490,2.95831709371404,0,0,0,0,0.170210950933142,2.46507148366339,0,0.310691581901987,0,0.0123430772155142,AT1G75490,AT1G75490
AT4G20970,2.16155076686357,0,0,0,0.00286806883365201,0.427155754737599,1.67845871777238,0,0.0530682255199411,0,0,AT4G20970,AT4G20970
AT2G40200,2.38038233046986,0,0.0122784723176261,0,0,0.371988921650888,1.67532304201309,0,0.320791894488255,0,0,AT2G40200,AT2G40200
SHY2,2.1640733308788,0,0,0,0,0.250035517251578,1.42762272120068,0.181634564651849,0.304780527774698,0,0,AT1G04240,SHY2
AT4G25410,2.13263016077543,0.0504027481639421,0.0491275478206734,0,0.0322047087699097,0.315071899131404,1.32209315086791,0.0556586396279198,0.308071466393667,0,0,AT4G25410,AT4G25410
NAC080,1.82471494215362,0,0,0,0.0107231098100927,0.289794776718411,1.30485270534232,0,0.189405441235044,0.0246114216622567,0.00532748738548964,AT5G07680,NAC080
NAC045,1.65283616872485,0,0,0,0,0.136672102591269,0.867559280145387,0.0405504497626738,0.608054336225519,0,0,AT3G03200,NAC045
HB18,1.17959898537009,0,0,0,0.00669216061185469,0.258665767306876,0.753756146735281,0.0299847015954714,0.130500209120608,0,0,AT1G70920,HB18
ARF19,1.03268322488691,0.0171367771008929,0.0646385044294311,0.0356157992131769,0.0368687637210817,0.167644718171226,0.57571448365335,0.0137459584586159,0.0673009259096894,0,0.0540172942294458,AT1G19220,ARF19
LBD29,0.594929037240595,0,0,0,0,0.057825252444073,0.537103784796522,0,0,0,0,AT3G58190,LBD29
STH,0.716741909775619,0,0,0.0206615120274914,0.00860420650095603,0.102889289297846,0.358427174731281,0.0218168186442923,0.0503319093183966,0.0669201205693785,0.0870908786859774,AT2G31380,STH
AT1G24210,0.197216761593887,0,0,0,0.00669216061185469,0.0657760518164279,0.124748549165604,0,0,0,0,AT1G24210,AT1G24210
AT4G27240,0.162221139280687,0,0,0.0215829469536492,0.00905322435571545,0.0305836953661098,0.0954333024003706,0,0.00556797020484171,0,0,AT4G27240,AT4G27240
DAR6,0.103486477138064,0.00776832980909104,0,0,0.00382409177820268,0,0.0918940555507701,0,0,0,0,AT5G66620,DAR6
WRKY67,0.15898782376511,0,0,0,0.00286806883365201,0.0757021356238695,0.0804176193075883,0,0,0,0,AT1G66550,WRKY67
AT5G55580,0.123376860044883,0,0,0,0,0.0413872593128694,0.0748466750126806,0,0,0.00714292571933294,0,AT5G55580,AT5G55580
AT1G74120,0.0574412902734845,0,0,0,0.0095602294455067,0,0.0334228222787947,0,0.0144582385491831,0,0,AT1G74120,AT1G74120
EMB3114,0.0226253191896146,0,0,0,0.00382409177820268,0.00609149705462273,0.0127097303567891,0,0,0,0,AT2G36000,EMB3114
NF-YA8,0.018139333683142,0,0,0,0.00860420650095603,0,0.00953512718218601,0,0,0,0,AT1G17590,NF-YA8
HB51,0.00864942047835707,0,0,0,0,0,0.00864942047835707,0,0,0,0,AT5G03790,HB51
IAA32,0.0107644730484034,0,0,0,0,0,0.00741872506578389,0,0.00334574798261949,0,0,AT2G01200,IAA32
MYB95,0.00586096260525544,0,0,0,0,0,0.00586096260525544,0,0,0,0,AT1G74430,MYB95
AT1G18960,0.00373324283047684,0,0,0,0,0,0.00373324283047684,0,0,0,0,AT1G18960,AT1G18960
