,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,ground,epi,stele,epilrc,rc
BZIP9,31.7144709758807,0,0,0,0.00669856459330143,8.04635575744304,11.9443036477458,0.0362276359214869,11.6808853701771,0,0,AT5G24800,0.00669856459330143,0,31.7077724112874,0,0
AT3G43430,29.5013424652083,0,0,0.00537577365163572,0.00669856459330143,8.92414304800144,10.0336910950605,3.50786159790142,7.02357238599997,0,0,AT3G43430,0.0120743382449371,0,29.4892681269633,0,0
LEP,35.5764311456381,3.67988635068297,5.19896925631745,0.56808868889973,4.60811505103895,12.3723071980632,5.86585288571421,0.214510595796422,2.92960806664506,0.139093052480061,0,AT5G13910,5.17620373993868,8.87885560700042,21.3822787462189,9.01794865948049,0.139093052480061
HB-8,20.2204704190912,0,0.00866206689665517,0,0,2.6361377203,6.03685334957765,8.18332065637741,3.35549662593948,0,0,AT4G32880,0,0.00866206689665517,20.2118083521945,0.00866206689665517,0
MYB20,19.035556618252,0,0,0,0,5.81606564195285,7.09198881727139,3.20671764294496,2.92078451608281,0,0,AT1G66230,0,0,19.035556618252,0,0
HAT2,32.6605120284528,0,0,6.84185463385041,6.82116114666418,6.284847080836,4.58676777660134,2.80786121437169,4.95327152352827,0,0.364748652600867,AT5G47370,13.6630157805146,0,18.6327475953373,0,0.364748652600867
AT1G61660,18.1740331217325,0,0,0,0.00382775119617224,5.29044447840601,6.74188752637831,1.44004494501161,4.6978284207404,0,0,AT1G61660,0.00382775119617224,0,18.1702053705363,0,0
AT5G05790,17.0366030077659,0,0,0,0.158795612039764,6.59914339310324,3.48874755805531,0.113444002805705,6.67647244176187,0,0,AT5G05790,0.158795612039764,0,16.8778073957261,0,0
IAA12,16.8288660129839,0,0,0,0,1.40060593783989,7.169330714758,5.61947935344808,2.63945000693792,0,0,AT1G04550,0,0,16.8288660129839,0,0
DAG1,16.7771396139303,0,0,0,0,4.56279564673834,6.98875701271348,1.03954406313717,4.18604289134127,0,0,AT3G61850,0,0,16.7771396139303,0,0
AT1G29160,17.9271894051025,0,0,0,0,3.62443539072297,6.49814435627293,0,6.5346715929133,1.15644899345517,0.113489071738125,AT1G29160,0,0,16.6572513399092,1.15644899345517,1.26993806519329
AT3G60490,16.3123033255013,0,0,0,0,4.68105222865053,5.03857516332147,0.115468125759944,6.47720780776933,0,0,AT3G60490,0,0,16.3123033255013,0,0
ATAUX2-11,16.293036462394,0.0919479584171646,0,0.134816301843476,0.0151705580213524,0.738787752499906,5.22838816622897,7.73246237177366,2.1693902088925,0.0984313228311298,0.0836418218858066,AT5G43700,0.149986859864828,0.0919479584171646,15.869028499395,0.190379281248294,0.182073144716936
GBF6,15.9092021643565,0,0,0.0306921905729183,0.822865104427222,2.55286996187673,4.05799314342213,2.52959923758191,5.87441651930988,0,0.0407660071656943,AT4G34590,0.853557295000141,0,15.0148788621907,0,0.0407660071656943
MYB43,14.2524371918313,0,0,0,0.0839183096484056,4.51822548259616,6.61445071362614,0.335323228340677,2.70051945761994,0,0,AT5G16600,0.0839183096484056,0,14.1685188821829,0,0
AT4G29100,14.2291354127836,0,0,0,0.186437104533515,7.05512318181604,4.59730974990663,0,2.39026537652742,0,0,AT4G29100,0.186437104533515,0,14.0426983082501,0,0
AT2G41130,15.8989101352173,0.0670465738004784,0.103382330883456,1.02579882471916,0.685158670503314,5.90036154499531,3.01197443218381,3.91761657429161,1.18757118384012,0,0,AT2G41130,1.71095749522248,0.170428904683934,14.0175237353109,0.170428904683934,0
GRP2B,18.3281545471669,0.557149294011462,0.00569216757741348,0.727141625059565,0.369605755248742,1.06010054180823,2.99623024498074,4.87776676183206,4.92658166876123,1.48514282746212,1.3227436604253,AT2G21060,1.09674738030831,0.562841461588876,13.8606792173823,2.047984289051,2.80788648788742
BZIP61,20.0151891819784,2.40562482547546,0.222213629242025,1.43684160414881,1.70794348244064,2.9291558730829,3.35428854965799,2.3972462137672,5.15506651980638,0.34296046950597,0.0638480148510035,AT3G58120,3.14478508658945,2.62783845471748,13.8357571563145,2.97079892422345,0.406808484356974
HAT1,21.9650243914939,1.26400857109274,0.0825946407597652,1.09111825382264,1.00888992220093,4.37190314156311,4.63893374763144,1.64392441610429,3.13975655983411,3.62896871743297,1.09492642105189,AT4G17460,2.10000817602357,1.34660321185251,13.794517865133,4.97557192928548,4.72389513848486
HB40,13.6551414349183,0,0.0889782355144538,0,0,0.653329029926581,1.36966445145964,5.09085865269575,6.45231106532186,0,0,AT4G36740,0,0.0889782355144538,13.5661631994038,0.0889782355144538,0
BT1,13.7220832080708,0,0,0.0655800252187971,0.192824030405078,1.68332763634426,4.36607477150372,5.24896675524173,2.16530998935718,0,0,AT5G63160,0.258404055623875,0,13.4636791524469,0,0
MIF1,15.2737122637631,0,0,0.327534768429538,1.53613321045317,4.77850090681404,4.27932411124073,0,4.25021797925498,0.0552177302594944,0.046783557311129,AT1G74660,1.86366797888271,0,13.3080429973098,0.0552177302594944,0.102001287570623
SGR5,13.3078006962816,0,0,0,0.0148763063454331,1.40211659702715,4.66704955841842,2.03434141790884,5.18941681658178,0,0,AT2G01940,0.0148763063454331,0,13.2929243899362,0,0
MYB88,13.1089507197755,0,0,0,0.00277206800499472,1.21913207465496,6.03388782644815,3.7875280912669,2.06563065940044,0,0,AT2G02820,0.00277206800499472,0,13.1061786517705,0,0
AT3G11280,12.7928759818443,0,0,0,0.0280484250417874,4.02583946763635,3.02141468446106,0,5.71757340470505,0,0,AT3G11280,0.0280484250417874,0,12.7648275568025,0,0
UNE12,12.8533334589642,0,0,0,0.357978647848603,3.10738560790049,3.81232806515957,2.05427524387895,3.48599150440162,0,0.0353743897749334,AT4G02590,0.357978647848603,0,12.4599804213406,0,0.0353743897749334
OBP3,12.1331379775463,0,0,0,0,2.24277870326883,4.95469842688564,0.275629680413866,4.66003116697793,0,0,AT3G55370,0,0,12.1331379775463,0,0
AT5G51780,14.6906440070507,0.250047826311513,0.604400905999626,0.321266593973058,1.63440472234976,4.15752175290223,3.29574826667865,2.08680087100646,2.34045306782942,0,0,AT5G51780,1.95567131632282,0.854448732311138,11.8805239584168,0.854448732311138,0
AT4G24060,11.9398241306212,0,0,0.0628824049513705,0.370314735519162,3.23458866164846,2.82296009642168,2.59228573370354,2.85679249837696,0,0,AT4G24060,0.433197140470533,0,11.5066269901506,0,0
AT2G34140,17.6301744537736,0.0995345178890006,0,0.0707338638373121,0,4.00114764328745,4.34097025434029,0,3.05095273519216,4.64149795670575,1.42533748252167,AT2G34140,0.0707338638373121,0.0995345178890006,11.3930706328199,4.74103247459475,6.06683543922742
AT5G50010,11.320438337601,0,0,0,0.0209345432533742,2.46728849734987,3.93680539146125,2.75019288612297,2.14521701941349,0,0,AT5G50010,0.0209345432533742,0,11.2995037943476,0,0
TCP11,14.8000486431868,0,0,1.35540384019599,2.35079399445749,4.93975251525126,3.2075279035196,1.21162105082986,1.73494933893261,0,0,AT5G08330,3.70619783465348,0,11.0938508085333,0,0
NF-YB2,11.7051955443398,0.135530362419345,0.0698590070496475,0,0.406111212531851,1.30484762579212,2.4771754722789,4.93682751597528,2.20812033117042,0.0945378496524025,0.0721861674698792,AT5G47640,0.406111212531851,0.205389369468993,10.9269709452167,0.299927219121395,0.166724017122282
HB-7,15.3354999224831,0.295439257372773,0.0120682107609042,1.35731240276129,2.72023509601464,3.161777980295,4.32403526892312,0,3.32134028918143,0.0493433635088614,0.0939480536650558,AT2G46680,4.07754749877592,0.307507468133678,10.8071535383995,0.356850831642539,0.143291417173917
