,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID
AT1G68810,15.7407756941576,0,1.24410788078111,0,0,0.00603927327171691,0.100109510731783,12.3885372536866,2.00198177568637,0,0,AT1G68810
MYB46,10.9754837508648,0,0,0,0,0,0,10.9754837508648,0,0,0,AT5G12870
VND2,12.6181694946044,0,1.12948393104916,0,0,0,0.00681836784808054,10.3468588315167,1.13500836419045,0,0,AT4G36160
ATHB-15,15.4399239926047,0,0,0,0,0.318966128730568,3.6573133012576,9.67705969871809,1.78658486389849,0,0,AT1G52150
DOF2,13.2241783236449,0,1.36575018719827,0.200729927007299,1.48735022557668,0,0.00287099942702791,9.49283968327825,0.596259013061269,0.0172068159037755,0.0611714721923625,AT3G21270
MYB83,9.30738114130331,0,0,0,0,0,0,9.30738114130331,0,0,0,AT3G08500
VND7,9.2840490597224,0,0,0,0,0,0,9.2840490597224,0,0,0,AT1G71930
AT1G66810,10.0714162228389,0.172518567777132,0.520124533418399,0,0,0,0,9.2811253270465,0,0.0976477945968566,0,AT1G66810
IAA6,9.31035552786254,0,0,0,0,0,0,9.21851879316867,0.0918367346938776,0,0,AT1G52830
VND4,9.09745352473244,0,0,0,0,0,0,9.09745352473244,0,0,0,AT1G12260
ZHD3,8.75936478131522,0,0,0,0,0,0,8.75936478131522,0,0,0,AT2G02540
VND5,8.50763213544297,0,0,0,0,0,0,8.50763213544297,0,0,0,AT1G62700
IAA8,12.8408835537391,0.121714322044322,0,0.0590981432360743,0.0419094351518327,0.606687492678653,1.17102273032178,8.42733893575371,1.16907517730369,0.813833814924472,0.430203502324583,AT2G22670
LBD18,8.7761546716833,0,0,0,0,0,0,8.40780011717281,0,0.00549009607668134,0.362864458433815,AT2G45420
XND1,8.1481553793189,0,0,0,0,0,0.0117128425995673,8.04698675440641,0.0894557823129252,0,0,AT5G64530
VND1,7.97955988573389,0,0.0785210739463027,0,0,0,0,7.87552860770595,0.0255102040816326,0,0,AT2G18060
VND3,8.88056179228601,0,0.047547622618869,0,0,0,0.0127997871817959,7.56656375285869,1.25365062962666,0,0,AT5G66300
