,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G44750,HDT1,132,2,130,0.008558871154291,0.006338598705336661,0.0707774798927614,0.00107238605898123,0.0697050938337802,195,3.08878803589658e-07,0.368704520944641,0.00040258992300259104,-0.218647143686935,3.52591616039433,1,4,5.9067195905223295,0.49230945821854905,Connector Hub,Elongation_Cortex
AT1G22985,ERF069,30,3,27,0.0574712643678161,0.0515970819589322,0.0160857908847185,0.00160857908847185,0.0144772117962466,1389,6.648557158379001e-07,0.11200358176527,0.000403041938488388,-0.218647143686935,3.52591616039433,1,3,0.182804309036105,0.6479591836734689,Connector,Elongation_Cortex
AT2G30130,LBD12,122,18,104,0.046064218940523,0.0452336900647347,0.0654155495978552,0.0096514745308311,0.0557640750670241,12179,6.64857108557175e-07,0.35704634714876204,0.000556259388614807,-0.218647143686935,3.52591616039433,1,3,3.13387469973077,0.634909970438054,Connector Hub,Elongation_Cortex
AT1G77450,NAC032,86,3,83,0.0246238030095759,0.0248374986612159,0.046112600536193,0.00160857908847185,0.0445040214477212,539,6.64853373369483e-07,0.230267459015535,0.000408361435011068,-0.218647143686935,3.52591616039433,1,3,1.8222878594220302,0.6089965397923879,Peripheral,Elongation_Cortex
AT1G01720,NAC002,152,7,145,0.0220460090623911,0.0258433942081188,0.0815013404825737,0.0037533512064343204,0.0777479892761394,3020,6.64856673304389e-07,0.7042562696935849,0.000443695202905854,-0.218647143686935,3.52591616039433,1,3,3.26503338376164,0.670013135672734,Connector Hub,Elongation_Cortex
AT2G33710,AT2G33710,69,0,69,0.0106564364876385,0.0104784326225125,0.0369973190348525,0.0,0.0369973190348525,0,6.681611035276109e-07,0.20267358090213802,0.00039491743389981603,-0.218647143686935,3.52591616039433,1,0,0.9196245450034229,0.631379962192817,Connector,Elongation_Cortex
AT4G32800,ERF043,7,0,7,0.0,0.0,0.0037533512064343204,0.0,0.0037533512064343204,0,2.88431446127745e-07,0.0317400673580872,0.00039491743389981603,-0.218647143686935,3.52591616039433,1,1,-0.243357900806555,0.5714285714285711,Peripheral,Elongation_Cortex
AT4G16780,HAT4,116,0,116,0.00449775112443778,0.00344384906177799,0.0621983914209115,0.0,0.0621983914209115,0,6.67332841839723e-07,0.497588430514827,0.00039491743389981603,-0.218647143686935,3.52591616039433,1,3,3.26503338376164,0.642835909631391,Connector Hub,Elongation_Cortex
AT1G34370,STOP1,85,5,80,0.0204481792717087,0.0185086847715509,0.0455764075067024,0.00268096514745308,0.0428954423592493,1426,6.64838560909424e-07,0.249839176731047,0.000417052235758257,-0.218647143686935,3.52591616039433,1,0,1.05506826893782,0.6618685121107271,Connector,Elongation_Cortex
AT1G71260,WHY2,27,0,27,0.0,0.0,0.0144772117962466,0.0,0.0144772117962466,0,2.9156989183260796e-07,0.0997925307675827,0.00039491743389981603,-0.218647143686935,3.52591616039433,1,3,0.313962993066979,0.493827160493827,Peripheral,Elongation_Cortex
