,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT5G18270,ANAC087,166,17,149,0.0738955823293173,0.0712729948107825,0.12125639152666198,0.012417823228634,0.10883856829802802,5344,1.1025697298182e-06,0.635756548971957,0.000570711130122253,-0.23117906521723497,2.81972972623019,27,2,3.77358188355896,0.471040999847584,Connector Hub,Distal Lateral Root Cap
AT3G44750,HDT1,132,0,132,0.0,0.0,0.0964207450693937,0.0,0.0964207450693937,0,5.90076664369648e-07,0.24810043722307198,0.00048684982821638894,-0.23117906521723497,2.81972972623019,29,3,6.269490445336389,0.0733471074380164,Connector Hub,Distal Lateral Root Cap
AT4G30080,ARF16,52,7,45,0.0754147812971342,0.0771044417865592,0.0379839298758218,0.00511322132943755,0.0328707085463842,1259,1.1025665880688601e-06,0.174819562662757,0.000521127668762942,-0.23117906521723497,2.81972972623019,30,2,0.17021262964138298,0.6072,Peripheral,Distal Lateral Root Cap
AT3G06740,GATA15,63,0,63,0.0,0.0,0.0460189919649379,0.0,0.0460189919649379,0,5.5890216756647e-07,0.0971613048783431,0.00048684982821638894,-0.23117906521723497,2.81972972623019,31,3,2.23518354647489,0.17485512723608,Peripheral,Distal Lateral Root Cap
AT1G62300,WRKY6,152,11,141,0.0665737190658766,0.0754172796822155,0.111029948867787,0.00803506208911614,0.102994886778671,1199,1.10257198411473e-06,0.42843426715079097,0.000534259092574547,-0.23117906521723497,2.81972972623019,19,2,3.4733011123991604,0.458528804653781,Connector Hub,Distal Lateral Root Cap
AT1G33280,BRN1,229,42,187,0.0617099517352333,0.0755205296020157,0.1672753834916,0.0306793279766253,0.136596055514974,11734,1.10257337087386e-06,0.8932625904956509,0.000909363154743201,-0.23117906521723497,2.81972972623019,27,2,4.674424197038349,0.557676977040816,Connector Hub,Distal Lateral Root Cap
AT4G10350,BRN2,224,22,202,0.0532511210762332,0.057563776549554996,0.163623082542001,0.0160701241782323,0.14755295836376903,10898,1.10257294361213e-06,1.0,0.000724454132824264,-0.23117906521723497,2.81972972623019,20,2,4.07386265471875,0.564257544581619,Connector Hub,Distal Lateral Root Cap
AT1G43160,RAP2-6,203,33,170,0.0596498073452665,0.0645518643212992,0.14828341855368898,0.0241051862673484,0.12417823228633999,14057,1.10257459706891e-06,0.512365576689942,0.0009382195772516131,-0.23117906521723497,2.81972972623019,6,3,3.9641722174155403,0.6096462673611109,Connector Hub,Distal Lateral Root Cap
AT1G20910,ARID6,69,0,69,0.007672634271099741,0.00693380845030938,0.0504017531044558,0.0,0.0504017531044558,0,1.10756892004598e-06,0.103831772343462,0.00048684982821638894,-0.23117906521723497,2.81972972623019,32,3,2.11991763507885,0.33354337324091604,Peripheral,Distal Lateral Root Cap
AT2G45050,GATA2,114,0,114,0.0423847228691197,0.0386530857404381,0.08327246165084,0.0,0.08327246165084,0,1.11435639520083e-06,0.31643874485941303,0.00048684982821638894,-0.23117906521723497,2.81972972623019,33,0,2.62745029351104,0.651738996614343,Connector Hub,Distal Lateral Root Cap
AT5G13180,NAC083,219,30,189,0.0579783000293243,0.0625160108034243,0.15997078159240302,0.0219138056975895,0.138056975894814,14297,1.1025758136064301e-06,0.49162607004755104,0.000650308394948196,-0.23117906521723497,2.81972972623019,5,2,4.374143425878549,0.5559547888161811,Connector Hub,Distal Lateral Root Cap
AT1G29160,DOF1.5,145,7,138,0.0511494252873563,0.0551667054367191,0.10591672753834899,0.00511322132943755,0.10080350620891199,1713,1.1025732434721398e-06,0.406779527211802,0.000521005458440823,-0.23117906521723497,2.81972972623019,27,2,2.87273957007956,0.523308867288236,Connector Hub,Distal Lateral Root Cap
AT5G48560,BHLH78,167,8,159,0.065074669937234,0.0693346807360177,0.12198685171658098,0.0058436815193572,0.116143170197224,2928,1.10257241860059e-06,0.5709698388114809,0.000509677864484365,-0.23117906521723497,2.81972972623019,27,2,3.6877873775132994,0.474827360055554,Connector Hub,Distal Lateral Root Cap
AT5G51990,DREB1D,33,0,33,0.0132575757575758,0.00825206577794414,0.0241051862673484,0.0,0.0241051862673484,0,1.10422721896113e-06,0.0519652716042129,0.00048684982821638894,-0.23117906521723497,2.81972972623019,34,3,0.0451312299500784,0.549127640036731,Peripheral,Distal Lateral Root Cap
AT1G74840,AT1G74840,213,39,174,0.061165736557711,0.063371205137024,0.155588020452885,0.0284879474068663,0.127100073046019,13708,1.10257182073572e-06,0.6375033081279711,0.000943668501687668,-0.23117906521723497,2.81972972623019,6,2,2.57245879891977,0.6511362284354549,Connector Hub,Distal Lateral Root Cap
AT2G22770,NAI1,52,5,47,0.0542986425339367,0.0394850831727709,0.0379839298758218,0.00365230094959825,0.0343316289262235,139,5.52137910570929e-07,0.206937371963857,0.000524217162132723,-0.23117906521723497,2.81972972623019,35,0,1.5918414767825901,0.44748520710059203,Peripheral,Distal Lateral Root Cap
AT3G16870,GATA17,81,0,81,0.0006172839506172839,0.000724991244995127,0.0591672753834916,0.0,0.0591672753834916,0,1.10925969956054e-06,0.104677528276994,0.00048684982821638894,-0.23117906521723497,2.81972972623019,36,3,3.09967788194521,0.201798506325255,Connector Hub,Distal Lateral Root Cap
AT1G71260,WHY2,32,1,31,0.0241935483870968,0.0184325460961289,0.0233747260774288,0.0007304601899196491,0.0226442658875091,19,5.45535407260913e-07,0.0799819040060102,0.000491258446912915,-0.23117906521723497,2.81972972623019,37,3,0.736726698326336,0.060546875,Peripheral,Distal Lateral Root Cap
AT1G72050,TFIIIA,85,0,85,0.00336134453781513,0.0028946890323529,0.0620891161431702,0.0,0.0620891161431702,0,5.770158655840861e-07,0.17378361675346699,0.00048684982821638894,-0.23117906521723497,2.81972972623019,38,3,3.21494379334126,0.23363321799307998,Connector Hub,Distal Lateral Root Cap
AT4G16141,AT4G16141,90,0,90,0.0014981273408239699,0.0009625969910263641,0.0657414170927684,0.0,0.0657414170927684,0,5.81613734961795e-07,0.18589468244841,0.00048684982821638894,-0.23117906521723497,2.81972972623019,39,3,3.7912733503214704,0.125679012345679,Connector Hub,Distal Lateral Root Cap
AT3G60530,GATA4,100,0,100,0.0153535353535354,0.0110630233327721,0.0730460189919649,0.0,0.0730460189919649,0,1.1059090505338e-06,0.240522896916737,0.00048684982821638894,-0.23117906521723497,2.81972972623019,40,3,3.0420449262471903,0.4534,Connector Hub,Distal Lateral Root Cap
AT1G01720,NAC002,174,11,163,0.0452461630456448,0.0455848165256903,0.127100073046019,0.00803506208911614,0.119065010956903,10865,1.10257424573809e-06,0.391255391104035,0.000586333411609617,-0.23117906521723497,2.81972972623019,14,2,2.7011505579882504,0.6146755697488749,Connector Hub,Distal Lateral Root Cap
AT4G23750,CRF2,77,0,77,0.0345181134654819,0.0236453707574983,0.056245434623813,0.0,0.056245434623813,0,1.1109593728547e-06,0.14299609500684002,0.00048684982821638894,-0.23117906521723497,2.81972972623019,41,3,2.63861423636104,0.29279811097992897,Connector Hub,Distal Lateral Root Cap
AT1G17310,AT1G17310,61,24,37,0.178688524590164,0.193501491111803,0.0445580715850986,0.0175310445580716,0.027027027027027,4408,1.1025599813286998e-06,0.272066754203861,0.0010192784979091698,-0.23117906521723497,2.81972972623019,42,2,0.556287906846838,0.495834530307383,Peripheral,Distal Lateral Root Cap
AT1G80840,WRKY40,206,33,173,0.0565948377930381,0.0633327249626243,0.150474799123448,0.0241051862673484,0.126369612856099,11059,1.10257491643083e-06,0.429092769770073,0.0009663187039191811,-0.23117906521723497,2.81972972623019,6,2,2.9156368231023904,0.644489680228813,Connector Hub,Distal Lateral Root Cap
AT4G37850,BHLH25,116,7,109,0.0416791604197901,0.0399783187081966,0.0847333820306793,0.00511322132943755,0.0796201607012418,5083,1.10257127157369e-06,0.256070668811787,0.000556977619332028,-0.23117906521723497,2.81972972623019,8,0,2.0751255912558704,0.6604158790170129,Connector,Distal Lateral Root Cap
AT2G23320,WRKY15,142,8,134,0.0507441814004595,0.0492665574909468,0.10372534696859,0.0058436815193572,0.097881665449233,6330,1.1025762223267402e-06,0.358188681211818,0.000568481827096521,-0.23117906521723497,2.81972972623019,13,2,1.88610275055451,0.617412308338584,Peripheral,Distal Lateral Root Cap
AT1G63100,SCL28,31,0,31,0.0,0.0,0.0226442658875091,0.0,0.0226442658875091,0,5.455355771835339e-07,0.0573266463999315,0.00048684982821638894,-0.23117906521723497,2.81972972623019,43,3,0.50619487553425,0.23309053069719002,Peripheral,Distal Lateral Root Cap
