,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT2G46680,ATHB-7,64,3,61,0.037202380952381,0.0297311183784182,0.0461095100864553,0.00216138328530259,0.0439481268011527,766,1.22847749514655e-06,0.12859366347324197,0.000545656117046661,-0.174565791116289,3.13875670569784,1,1,2.0169012270205102,0.59228515625,Peripheral,Elongation_Pericycle
AT5G64750,ABR1,179,14,165,0.0433745527587722,0.0486083349954486,0.128962536023055,0.0100864553314121,0.118876080691643,8467,1.2201599956643699e-06,0.508697286895722,0.000622247387021459,-0.174565791116289,3.13875670569784,1,3,3.7828340881364397,0.507009932231346,Connector Hub,Elongation_Pericycle
AT1G29160,DOF1.5,185,11,174,0.0475323149236193,0.0496137377845427,0.13328530259366,0.007925072046109509,0.12536023054755,10948,1.2201643721511601e-06,0.696623324390796,0.000524758109421301,-0.174565791116289,3.13875670569784,1,3,3.1128003144585605,0.602572696223946,Connector Hub,Elongation_Pericycle
AT1G43160,RAP2-6,158,37,121,0.0781262597758607,0.098012631482575,0.11383285302593699,0.026657060518732,0.0871757925072046,19333,1.2201618316801398e-06,0.389297330498115,0.000823456334558378,-0.174565791116289,3.13875670569784,1,3,2.66611113200664,0.579346238130022,Connector Hub,Elongation_Pericycle
AT2G28810,DOF2.2,215,3,212,0.0183438382960226,0.0160361083312494,0.154899135446686,0.00216138328530259,0.152737752161383,12249,1.22014972051844e-06,1.0,0.0007746082319760809,-0.174565791116289,3.13875670569784,1,3,3.0234624779681702,0.649118903524386,Connector Hub,Elongation_Pericycle
AT4G34410,ERF109,70,11,59,0.0824016563146998,0.11706784738079598,0.0504322766570605,0.007925072046109509,0.042507204610951005,2217,1.22015629231066e-06,0.141423101742209,0.0009465606201222561,-0.174565791116289,3.13875670569784,1,3,0.74534764746338,0.47729105079279793,Peripheral,Elongation_Pericycle
AT1G01060,LHY,74,0,74,0.00703443169196594,0.0067721675414404705,0.053314121037464,0.0,0.053314121037464,0,1.22216787106171e-06,0.183624623549926,0.00048874067479836,-0.174565791116289,3.13875670569784,1,2,1.5966082156348702,0.570124178232286,Peripheral,Elongation_Pericycle
AT1G72740,AT1G72740,200,0,200,0.00884422110552764,0.009027040767720141,0.144092219020173,0.0,0.144092219020173,0,1.24980950135625e-06,0.266982494295913,0.00048874067479836,-0.174565791116289,3.13875670569784,1,1,7.6323551922864805,0.59885,Connector Hub,Elongation_Pericycle
AT2G40970,MYBC1,149,15,134,0.0443497188463631,0.0406438960317464,0.107348703170029,0.010806916426513,0.0965417867435159,6878,1.22014187562485e-06,0.403178196555271,0.000556083850274683,-0.174565791116289,3.13875670569784,1,3,2.7107800502518304,0.564851367419739,Connector Hub,Elongation_Pericycle
AT1G74840,AT1G74840,147,30,117,0.0935607119560153,0.0983690550674267,0.10590778097982699,0.0216138328530259,0.0842939481268011,10105,1.2201517185723499e-06,0.38108617834766606,0.000663046007832065,-0.174565791116289,3.13875670569784,1,3,2.17475303130952,0.6116392535586739,Peripheral,Elongation_Pericycle
AT4G23750,CRF2,124,1,123,0.0232100708103855,0.016670346932156,0.0893371757925072,0.000720461095100865,0.0886167146974063,789,1.22638274234793e-06,0.285602131722703,0.000510149390189652,-0.174565791116289,3.13875670569784,1,3,2.26409086779991,0.5482570239334029,Peripheral,Elongation_Pericycle
AT1G34370,STOP1,59,7,52,0.0572764465225015,0.0472534390755392,0.042507204610951005,0.00504322766570605,0.037463976945245,1113,1.2201319237999399e-06,0.129421648592315,0.000539127769226976,-0.174565791116289,3.13875670569784,1,3,0.47733413799222796,0.550416546969262,Peripheral,Elongation_Pericycle
AT1G22985,ERF069,73,5,68,0.0631659056316591,0.0597065574559795,0.0525936599423631,0.0036023054755043205,0.0489913544668588,2539,1.22015237317623e-06,0.12649871921997,0.000506657401106261,-0.174565791116289,3.13875670569784,1,3,0.834685483953764,0.535918367346939,Peripheral,Elongation_Pericycle
AT2G34140,CDF4,240,9,231,0.022489539748954,0.0233157452280079,0.172910662824208,0.006484149855907779,0.1664265129683,11391,1.22016520302636e-06,0.97073078407822,0.000529711839035533,-0.174565791116289,3.13875670569784,1,1,5.2596281647093,0.6670964652139469,Connector Hub,Elongation_Pericycle
AT1G26960,ATHB-23,152,6,146,0.0189090275357267,0.0195904263570818,0.109510086455331,0.004322766570605189,0.105187319884726,6021,1.22015419745097e-06,0.487704275522746,0.0005129322036602679,-0.174565791116289,3.13875670569784,1,1,3.12417383988985,0.666574112638253,Connector Hub,Elongation_Pericycle
AT4G36780,BEH2,29,0,29,0.00738916256157635,0.007222577659455129,0.0208933717579251,0.0,0.0208933717579251,0,1.2221514262062099e-06,0.0722730103301093,0.00048874067479836,-0.174565791116289,3.13875670569784,1,2,0.192078053338959,0.47562425683709897,Peripheral,Elongation_Pericycle
AT4G36990,HSFB1,214,22,192,0.0466412180246589,0.0507233870774359,0.154178674351585,0.015850144092219,0.138328530259366,12003,1.22015657220427e-06,0.7405672019389791,0.000831885945208414,-0.174565791116289,3.13875670569784,1,3,3.5148205786652897,0.617194392706597,Connector Hub,Elongation_Pericycle
