,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT5G12870,MYB46,215,49,166,0.0657683112366877,0.0863556988051346,0.117743702081051,0.0268346111719606,0.0909090909090909,26048,1.10563941528479e-06,0.961612537266203,0.0010385437542736698,-0.153157349272886,3.16341309667396,2,4,3.6978417586363306,0.6537074704142011,Connector Hub,Elongation_Xylem
AT1G28470,NAC010,447,14,433,0.0260832054253067,0.0300399876705752,0.244797371303395,0.00766703176341731,0.23713033953997797,14083,1.10565102115061e-06,1.0,0.000468916316659595,-0.153157349272886,3.16341309667396,2,4,9.11761848728031,0.631394628099175,Connector Hub,Elongation_Xylem
AT1G12260,NAC007,277,16,261,0.0402082352325642,0.05181365410556,0.151697699890471,0.00876232201533406,0.142935377875137,11980,1.10565425526108e-06,0.7591744978678959,0.000492090788339399,-0.153157349272886,3.16341309667396,2,4,5.228618391917469,0.6390435860078161,Connector Hub,Elongation_Xylem
AT4G32880,ATHB-8,245,18,227,0.0312144529943125,0.0414830529597602,0.13417305585980302,0.00985761226725082,0.12431544359255198,22366,1.1056564948375299e-06,0.382750128620469,0.000590105762284262,-0.153157349272886,3.16341309667396,2,3,6.46733187259785,0.664387829585715,Connector Hub,Elongation_Xylem
AT5G04390,AT5G04390,59,0,59,0.0187025131502046,0.0212273737865644,0.0323110624315444,0.0,0.0323110624315444,0,1.10784903698913e-06,0.0642930067929904,0.000414691723663887,-0.153157349272886,3.16341309667396,2,4,0.512171467753962,0.6515369146796899,Connector,Elongation_Xylem
AT1G62990,KNAT7,166,30,136,0.0757210660825119,0.0841711608628296,0.0909090909090909,0.0164293537787514,0.0744797371303395,6872,1.1056001370437901e-06,0.496838636456943,0.000540313259503609,-0.153157349272886,3.16341309667396,2,4,3.9460758072765203,0.510633551457466,Connector Hub,Elongation_Xylem
AT4G36160,ANAC076,291,17,274,0.027965398743927002,0.0330369303111499,0.159364731653888,0.00930996714129244,0.150054764512596,22454,1.10564963239015e-06,0.45980822968709106,0.000527241794708517,-0.153157349272886,3.16341309667396,2,3,7.84028500756276,0.6887780855647889,Connector Hub,Elongation_Xylem
AT3G21270,DOF3.1,95,24,71,0.0963045912653975,0.11018735392267698,0.052026286966046005,0.0131434830230011,0.0388828039430449,6997,1.10562925255782e-06,0.15494577121800898,0.0005183288723554701,-0.153157349272886,3.16341309667396,2,4,1.25687361367452,0.64493004971673,Connector,Elongation_Xylem
AT5G65060,MAF3,37,0,37,0.027027027027027,0.0180403324745859,0.02026286966046,0.0,0.02026286966046,0,1.10787438246868e-06,0.0352914827115606,0.000414691723663887,-0.153157349272886,3.16341309667396,2,5,0.35197843669298606,0.612125639152666,Peripheral,Elongation_Xylem
AT4G28500,NAC073,368,19,349,0.0353334912925009,0.0399605844922943,0.20153340635268302,0.0104052573932092,0.191128148959474,27668,1.10565608478493e-06,0.763256328993507,0.0005073100887610309,-0.153157349272886,3.16341309667396,2,4,8.4142886827998,0.576584963828944,Connector Hub,Elongation_Xylem
AT3G08500,MYB83,342,12,330,0.0319493749035345,0.0378202146652432,0.18729463307776603,0.00657174151150055,0.180722891566265,6871,1.10566098351084e-06,0.6164307178480439,0.00045879665031198203,-0.153157349272886,3.16341309667396,2,4,5.931948196397999,0.6632443712632851,Connector Hub,Elongation_Xylem
AT2G45420,LBD18,264,17,247,0.0342781426431617,0.0368632503090468,0.14457831325301201,0.00930996714129244,0.13526834611172,16417,1.1056413960363899e-06,0.486007307230197,0.000490759017756117,-0.153157349272886,3.16341309667396,2,4,5.72508648919784,0.583491124260355,Connector Hub,Elongation_Xylem
AT4G22680,MYB85,100,4,96,0.0561616161616162,0.0555685643040354,0.0547645125958379,0.0021905805038335197,0.0525739320920044,1329,1.1056397128824801e-06,0.101708838256914,0.000426037832150996,-0.153157349272886,3.16341309667396,2,4,2.49804385687544,0.41097847158453205,Peripheral,Elongation_Xylem
AT1G68810,BHLH30,275,50,225,0.0392302587923026,0.0524916690108434,0.150602409638554,0.0273822562979189,0.123220153340635,30722,1.10565383505151e-06,0.38858499806195707,0.000896472451645327,-0.153157349272886,3.16341309667396,2,4,4.194309855916701,0.667520605925596,Connector Hub,Elongation_Xylem
AT5G11260,HY5,138,0,138,0.0222151697873691,0.0200520955195103,0.0755750273822563,0.0,0.0755750273822563,0,1.11013334799412e-06,0.0978277437533279,0.000414691723663887,-0.153157349272886,3.16341309667396,2,3,4.01046836792381,0.6342155009451801,Connector Hub,Elongation_Xylem
