,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT1G43160,RAP2-6,255,82,173,0.0847614636405744,0.117569885640732,0.17311608961303498,0.0556687033265445,0.11744738628649,21100,1.34601757667064e-06,0.8554346031152819,0.00205972722807251,-0.201189121489016,3.05884905526791,1,1,4.3833482563139,0.531187429682881,Connector Hub,Distal Columella
AT1G26680,AT1G26680,37,18,19,0.039039039039039,0.07905392760641,0.0251188051595384,0.0122199592668024,0.0128988458927359,17895,1.3459686254658399e-06,0.0313743349876534,0.0007526066849261099,-0.201189121489016,3.05884905526791,2,0,1.92215083643182,0.328703703703704,Peripheral,Distal Columella
AT1G74840,AT1G74840,254,63,191,0.0693411347297003,0.079265464573729,0.17243720298710097,0.0427698574338086,0.129667345553293,16994,1.3460111818646099e-06,1.0,0.00116569246306644,-0.201189121489016,3.05884905526791,1,1,4.41989138475337,0.5477014335145821,Connector Hub,Distal Columella
AT1G53170,ERF8,207,20,187,0.0530931945030721,0.0574244327201206,0.14052953156822798,0.0135777325186694,0.126951799049559,14269,1.34602224107672e-06,0.56014100225826,0.000584301487382504,-0.201189121489016,3.05884905526791,1,1,3.6524856875245804,0.521256244021681,Connector Hub,Distal Columella
AT1G01060,LHY,106,0,106,0.0388140161725067,0.0321047540795934,0.0719619823489477,0.0,0.0719619823489477,0,1.36223700862173e-06,0.160544907650949,0.00045923436922676504,-0.201189121489016,3.05884905526791,1,3,2.8897614424908,0.635813456746173,Connector Hub,Distal Columella
AT4G17500,ERF1A,122,24,98,0.100121934697196,0.14082121280081303,0.0828241683638832,0.0162932790224033,0.06653088934148,4735,1.34601297191211e-06,0.43599769928094395,0.000759525677490168,-0.201189121489016,3.05884905526791,1,1,1.8253292655513,0.490274234693878,Peripheral,Distal Columella
AT5G08790,NAC081,116,11,105,0.0712143928035982,0.102382877616571,0.0787508486082824,0.007467752885268159,0.0712830957230143,2736,1.3460162034173798e-06,0.336872318650795,0.0005480857811042299,-0.201189121489016,3.05884905526791,1,1,1.4598979811566397,0.559327846364884,Peripheral,Distal Columella
AT4G16780,HAT4,142,0,142,0.0283687943262411,0.0249137971609632,0.0964019008825526,0.0,0.0964019008825526,0,1.3540795222474701e-06,0.330321932238127,0.00045923436922676504,-0.201189121489016,3.05884905526791,1,0,3.76417367920309,0.6575084308668921,Connector Hub,Distal Columella
AT3G20840,PLT1,122,5,117,0.028586912342501,0.0318894295824952,0.0828241683638832,0.00339443312966735,0.0794297352342159,14636,1.3460148846996e-06,0.130929365926932,0.000517930305338816,-0.201189121489016,3.05884905526791,2,0,6.803511369775679,0.45109808629334097,Connector Hub,Distal Columella
AT1G77450,NAC032,85,30,55,0.128011204481793,0.174962101069829,0.0577053632043449,0.0203665987780041,0.0373387644263408,2253,1.34600925342105e-06,0.209087475353741,0.000714957918708962,-0.201189121489016,3.05884905526791,1,1,1.13100982520146,0.4096,Peripheral,Distal Columella
AT3G16770,RAP2-3,125,10,115,0.0807741935483871,0.0945874456713102,0.0848608282416836,0.00678886625933469,0.0780719619823489,7156,1.3460198765138201e-06,0.260139125344725,0.000509227940818492,-0.201189121489016,3.05884905526791,1,1,1.9715017793091598,0.489083596667625,Peripheral,Distal Columella
