,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G44750,HDT1,263,4,259,0.005485734188604771,0.00478800748363573,0.13026250619118399,0.0019811788013868303,0.128281327389797,843,2.81276737801839e-07,1.0,0.000403945479800857,-0.221675362569888,3.26114385297845,4,3,14.8761455186886,0.188292443146496,Connector Hub,Elongation_Endodermis
AT2G40620,BZIP18,130,15,115,0.0338700059630292,0.031698072923884,0.0643883110450718,0.0074294205052005905,0.0569588905398712,11098,6.17233371267232e-07,0.282762039034945,0.00045499126969102805,-0.221675362569888,3.26114385297845,1,1,3.9424611211536496,0.694556213017752,Connector Hub,Elongation_Endodermis
AT1G77450,NAC032,134,9,125,0.0535293457524408,0.0586629102032442,0.0663694898464586,0.00445765230312036,0.0619118375433383,7039,6.1723448130786e-07,0.39685283606210203,0.000406655614629915,-0.221675362569888,3.26114385297845,1,2,4.01666409698416,0.335076017066282,Connector Hub,Elongation_Endodermis
AT5G64750,ABR1,131,10,121,0.0414562536699941,0.0481700361612569,0.0648836057454185,0.00495294700346706,0.0599306587419515,4519,6.17235589904344e-07,0.38337026955856107,0.000450927548372833,-0.221675362569888,3.26114385297845,1,2,2.19277826465825,0.648803329864724,Connector,Elongation_Endodermis
AT1G08320,TGA9,210,6,204,0.0193665983139667,0.0213865270273277,0.10401188707280802,0.0029717682020802398,0.10104011887072802,9688,6.17232935339964e-07,0.796421101898941,0.000401831333588437,-0.221675362569888,3.26114385297845,1,2,5.52136990865303,0.505749835045716,Connector Hub,Elongation_Endodermis
AT1G43160,RAP2-6,180,26,154,0.0561142147734326,0.0715259331563564,0.0891530460624071,0.0128776622090144,0.0762753838533928,20566,6.17238304956609e-07,0.5746484282640411,0.000518097485450537,-0.221675362569888,3.26114385297845,1,2,4.10785838860046,0.555162634361542,Connector Hub,Elongation_Endodermis
AT5G18680,TULP11,38,29,9,0.0995732574679943,0.159464428031934,0.0188211986131748,0.0143635463100545,0.00445765230312036,4856,6.17147140217441e-07,0.278261479763932,0.000554550575029213,-0.221675362569888,3.26114385297845,1,2,0.323295286524195,0.544321329639889,Peripheral,Elongation_Endodermis
AT4G21340,BHLH103,54,14,40,0.144654088050314,0.168842204111398,0.0267459138187221,0.0069341258048538894,0.0198117880138683,8494,6.17229097054157e-07,0.46260067741352096,0.000478107171699439,-0.221675362569888,3.26114385297845,1,2,1.0072524736464101,0.389081122645137,Peripheral,Elongation_Endodermis
AT4G34410,ERF109,93,10,83,0.0397381954184198,0.0515441986457494,0.0460624071322437,0.00495294700346706,0.0411094601287766,6613,6.17232643060696e-07,0.301967383293253,0.000613891284195682,-0.221675362569888,3.26114385297845,1,2,1.3720296401115901,0.6376007398599549,Connector,Elongation_Endodermis
AT5G57620,MYB36,192,69,123,0.0516470331588133,0.0634291527170626,0.0950965824665676,0.0341753343239227,0.0609212481426449,47001,6.17231810409276e-07,0.841925124784516,0.00164462486379663,-0.221675362569888,3.26114385297845,1,2,4.97420415895526,0.51291957112063,Connector Hub,Elongation_Endodermis
