,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT5G64750,ABR1,210,38,172,0.0755069491911597,0.10025268667282598,0.162916989914663,0.0294802172226532,0.13343677269200901,14603,1.87686862351494e-06,0.8339797932598381,0.0011404125138050401,-0.181198060555558,2.91611639137683,3,3,2.99684809375141,0.655609253910607,Connector Hub,Elongation_Procambium
AT4G36900,RAP2-10,83,10,73,0.10020570085218901,0.125272773294489,0.0643910007757952,0.00775795190069822,0.056633048875097,2582,1.8768655104595298e-06,0.301756344995652,0.000565360415424163,-0.181198060555558,2.91611639137683,44,0,1.61703884288697,0.6556444444444439,Connector,Elongation_Procambium
AT1G26960,ATHB-23,149,17,132,0.0582260112461455,0.0571305436755548,0.115593483320403,0.013188518231187,0.10240496508921601,4017,1.87684673225882e-06,0.42428696543195293,0.000604028808813467,-0.181198060555558,2.91611639137683,13,1,3.0862343125771,0.669262525802214,Connector Hub,Elongation_Procambium
AT1G43160,RAP2-6,227,70,157,0.0902888776266033,0.133117384201248,0.176105508145849,0.0543056633048875,0.121799844840962,21826,1.8768635177518399e-06,1.0,0.00156771426287678,-0.181198060555558,2.91611639137683,45,3,3.17907952822839,0.6677349420303521,Connector Hub,Elongation_Procambium
AT4G17460,HAT1,180,39,141,0.0883302296710118,0.11199116015277302,0.139643134212568,0.030256012412723,0.109387121799845,7312,1.87685076923529e-06,0.710608404927364,0.000839649400807004,-0.181198060555558,2.91611639137683,13,3,2.49571164893973,0.627288960470572,Connector,Elongation_Procambium
AT5G67300,MYB44,120,20,100,0.0941176470588235,0.135750294858911,0.0930954228083786,0.0155159038013964,0.0775795190069822,3672,1.8768550015828702e-06,0.498212407355719,0.000694870543615251,-0.181198060555558,2.91611639137683,2,3,1.2656494662201399,0.63646449704142,Connector,Elongation_Procambium
AT3G20310,ERF7,98,3,95,0.0576478013885967,0.0555494110478352,0.0760279286268425,0.0023273855702094603,0.0737005430566331,646,1.8768558738470798e-06,0.276600289698752,0.00051744897499698,-0.181198060555558,2.91611639137683,46,0,2.03999886960481,0.6918402777777779,Connector,Elongation_Procambium
AT4G34590,BZIP11,156,24,132,0.0861869313482217,0.10071997844770098,0.121024049650892,0.0186190845616757,0.10240496508921601,7624,1.87687027462966e-06,0.457486233999524,0.000684823606721052,-0.181198060555558,2.91611639137683,47,0,3.0269055986130797,0.6801497443389329,Connector Hub,Elongation_Procambium
AT4G34410,ERF109,110,23,87,0.137781484570475,0.209662856749267,0.0853374709076804,0.0178432893716059,0.0674941815360745,1148,1.87684117444514e-06,0.576939783874028,0.000843848104638607,-0.181198060555558,2.91611639137683,2,3,1.5389966179356,0.583715118700541,Peripheral,Elongation_Procambium
AT5G47370,HAT2,149,16,133,0.075730092508616,0.093003830064984,0.115593483320403,0.0124127230411171,0.10318076027928601,4882,1.87686291138986e-06,0.5019308227410579,0.000630420585209421,-0.181198060555558,2.91611639137683,26,3,1.67567019379334,0.667483616601843,Connector,Elongation_Procambium
AT1G51070,bHLH115,100,55,45,0.133535353535354,0.15091598576825102,0.0775795190069822,0.0426687354538402,0.034910783553142,14814,1.87684723148086e-06,0.35386660973010803,0.00183657782749611,-0.181198060555558,2.91611639137683,48,1,2.0679789496693,0.667891031527395,Connector,Elongation_Procambium
AT2G46680,ATHB-7,137,22,115,0.0647273507943323,0.0716371336223708,0.10628394103956598,0.0170674941815361,0.0892164468580295,9242,1.8768631668846401e-06,0.319780222179851,0.0009691756804921929,-0.181198060555558,2.91611639137683,10,0,3.73183897647614,0.6337278106508879,Connector Hub,Elongation_Procambium
AT5G62020,HSFB2A,77,6,71,0.102529049897471,0.10886703824702,0.0597362296353763,0.004654771140418929,0.0550814584949573,1419,1.87686360052914e-06,0.169007554335295,0.00054111097912455,-0.181198060555558,2.91611639137683,49,0,1.12358547838283,0.676040905770636,Connector,Elongation_Procambium
AT5G13180,NAC083,186,41,145,0.0875326939843069,0.103924925960022,0.144297905352987,0.0318076027928627,0.112490302560124,18264,1.8768660057828099e-06,0.607430794672314,0.0009046999409334061,-0.181198060555558,2.91611639137683,5,3,2.6779430834167,0.649697139455901,Connector Hub,Elongation_Procambium
AT1G01720,NAC002,111,13,98,0.0966420966420966,0.127328857046167,0.0861132660977502,0.0100853374709077,0.0760279286268425,5603,1.87685973696603e-06,0.43691942510483006,0.000686640273204034,-0.181198060555558,2.91611639137683,1,3,1.2200916076008999,0.638023836985775,Connector,Elongation_Procambium
