,name,degree_all,degree_in,degree_out,clustering_coefficient,clustering_coefficient_weighted,degree_centrality_all,degree_centrality_in,degree_centrality_out,betweenness_centrality,closeness_centrality,eigenvector_centrality,page_rank,assortative_coefficient,average_path_length,community_random_walk,module,connectivity,participation,role,cluster
AT3G06740,GATA15,76,0,76,0.007719298245614041,0.00511487298978322,0.0493186242699546,0.0,0.0493186242699546,0,1.03920583053499e-06,0.138257606915603,0.000466800745726751,-0.18408866123263395,3.10799176904069,1,1,2.04652994103157,0.5744459833795009,Peripheral,Elongation_Trichoblast
AT3G50260,ERF011,132,4,128,0.034235484617164,0.0355108944150116,0.0856586632057106,0.00259571706683971,0.0830629461388709,4728,1.03754886371703e-06,0.234455791616221,0.0004902658138482691,-0.18408866123263395,3.10799176904069,2,3,2.96595395717407,0.656090379183943,Connector Hub,Elongation_Trichoblast
AT2G01060,PHL7,121,0,121,0.0017906336088154302,0.00202557141811809,0.0785204412719014,0.0,0.0785204412719014,0,1.04587753854519e-06,0.181358973201839,0.000466800745726751,-0.18408866123263395,3.10799176904069,3,1,4.64565543356538,0.483027115634178,Connector Hub,Elongation_Trichoblast
AT5G58010,BHLH82,337,27,310,0.0288610993358768,0.0302193517696678,0.21868916288124599,0.0175210902011681,0.201168072680078,18449,1.03754081198554e-06,1.0,0.000601961922522422,-0.18408866123263395,3.10799176904069,4,2,9.3153022231144,0.5039011467556971,Connector Hub,Elongation_Trichoblast
AT5G52660,RVE6,80,0,80,0.00949367088607595,0.00779321440067183,0.0519143413367943,0.0,0.0519143413367943,0,1.03920220486296e-06,0.155485111694817,0.000466800745726751,-0.18408866123263395,3.10799176904069,5,1,1.77293778392275,0.6178125,Peripheral,Elongation_Trichoblast
AT1G01720,NAC002,167,8,159,0.0247456893442032,0.0269779873626959,0.10837118754055802,0.0051914341336794295,0.10317975340687899,3724,1.0375469795885402e-06,0.3333373713107,0.000549081684264794,-0.18408866123263395,3.10799176904069,6,2,2.74369322386669,0.6468114656070371,Connector Hub,Elongation_Trichoblast
AT4G23750,CRF2,52,0,52,0.0,0.0,0.0337443218689163,0.0,0.0337443218689163,0,4.3553248580834e-07,0.0786710019645971,0.000466800745726751,-0.18408866123263395,3.10799176904069,7,3,0.6735346306869361,0.5673076923076921,Peripheral,Elongation_Trichoblast
AT1G69780,ATHB-13,226,9,217,0.0228908554572271,0.0273117487833608,0.146658014276444,0.00584036340038936,0.140817650876055,4844,1.0375407071381701e-06,0.47057344262904494,0.000620103913967535,-0.18408866123263395,3.10799176904069,8,2,4.2246191955281605,0.6328523596938771,Connector Hub,Elongation_Trichoblast
AT1G71260,WHY2,22,1,21,0.012987012987013,0.0149958854025796,0.0142764438676184,0.000648929266709929,0.0136275146009085,18,4.26650112566375e-07,0.0252604987086252,0.00047094935315342693,-0.18408866123263395,3.10799176904069,9,1,0.40497699837864504,0.169421487603306,Peripheral,Elongation_Trichoblast
AT2G18160,BZIP2,171,12,159,0.0318541451668387,0.0297406858500374,0.11096690460739801,0.00778715120051914,0.10317975340687899,6054,1.03754385317154e-06,0.3647256656243739,0.000504701987891762,-0.18408866123263395,3.10799176904069,10,2,4.0857823856849,0.533079584775086,Connector Hub,Elongation_Trichoblast
