,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,GeneName
MYB36,20.5741798711409,0,0,6.2909368862361,10.7485442720091,3.53469871289572,0,0,0,0,0,AT5G57620,MYB36
MYB74,12.7164428148926,0,0,4.53221333297941,7.68538193610771,0.23617295979708,0.0124753946146703,0.182513772699449,0,0.0148647342257771,0.0528206844684667,AT4G05100,MYB74
MYB68,9.6990060693447,0,0,2.50140051090084,6.17963801554102,1.01796754290284,0,0,0,0,0,AT5G65790,MYB68
SOM,7.74121604080584,0.0502690546266028,0,2.02770737804266,4.02156044170167,1.24419860670841,0.345040865262875,0,0.0524396944636152,0,0,AT1G03790,SOM
BLJ,4.55712950490009,0,0,0.643910731134666,3.7194126785331,0.19380609523232,0,0,0,0,0,AT1G14580,BLJ
RAX2,5.3184356769312,0.147471024007024,0.0494601038181348,1.1857545933997,3.46568622307834,0.450624549712497,0.019439182915506,0,0,0,0,AT2G36890,RAX2
SCR,4.75314475158771,0,0,1.66235814100501,3.00374283142187,0.0870437791608243,0,0,0,0,0,AT3G54220,SCR
TLP11,4.15587803172154,0.00601268463656847,0.370838722744828,0.278142329717096,2.17988614558968,0.627860319536972,0.505965671254247,0,0.187172158242145,0,0,AT5G18680,TLP11
SCL3,3.32256490064223,0,0,0.687705471239108,1.76111236710562,0.234680844786011,0.112334395208886,0,0,0.128682075455167,0.398049746847439,AT1G50420,SCL3
chr31,1.70206709990937,0,0,0,1.57272709019118,0.0927546319092219,0,0.0125413589643589,0.0240440188446088,0,0,AT1G05490,chr31
BIB,1.40602819254044,0,0,0.0108568039602522,1.39517138858019,0,0,0,0,0,0,AT3G45260,BIB
bZIP58,1.66161169154291,0,0,0.227490054913222,1.30659061610571,0.018751076234287,0.108779944289694,0,0,0,0,AT1G13600,bZIP58
MYB122,1.96206004209395,0,0,0.66694089823369,1.2083717297854,0.0636647771203585,0.0230826369545032,0,0,0,0,AT1G74080,MYB122
AGL42,1.24491417739676,0,0,0.446109294793973,0.726597205111335,0.0429631281931602,0.0292445492982933,0,0,0,0,AT5G62165,AGL42
ERF15,1.31454962621503,0,0,0.59090230707917,0.704993807705655,0,0,0,0,0,0.0186535114302021,AT2G31230,ERF15
AGL102,0.685543757832556,0,0,0.0249063111584739,0.644352188118227,0,0,0,0,0,0.0162852585558558,AT1G47760,AGL102
AT4G38340,0.442251374858045,0,0,0.0144974226804124,0.427753952177633,0,0,0,0,0,0,AT4G38340,AT4G38340
SIGA,0.430563438510725,0,0,0.0304883307460627,0.301306106125246,0.059055838338474,0.0359347568615598,0,0,0,0.00377840643938297,AT1G64860,SIGA
AT2G43140,0.335394776012307,0,0,0.0661941512154747,0.269200624796832,0,0,0,0,0,0,AT2G43140,AT2G43140
TIFY8,0.439795518316841,0,0,0.0115830115830116,0.253202346060709,0.0453429073530443,0,0,0.0345229758768411,0.0561506819725617,0.0389935954706742,AT4G32570,TIFY8
