,all,atri,tri,cor,end,per,pro,xyl,phl,lrc,col,GeneID,GeneName
AT1G68920,12.0284565181497,0.802697888100012,0.0660315409301291,0.35244161651107,0.129029370169512,0,0,0,0.0500391159476765,6.06912386368166,4.55909312280965,AT1G68920,AT1G68920
ANL2,9.79425863025341,2.6667761554597,0.479300263805351,0.573032142257656,0.151216221500919,0,0,0,0,4.97795587855288,0.945977968676902,AT4G00730,ANL2
OFP6,4.86520956966568,0.811113279943174,0,0,0,0,0,0,0,4.03102430750505,0.0230719822174611,AT3G52525,OFP6
ASL1,7.13971137389205,0.929049939911195,0.160306017495589,0.214140755773475,0.0801689413789058,0,0,0,0,3.58794672145433,2.16809899787856,AT5G66870,ASL1
AT1G05805,6.4225092849558,0.532165199314386,0.286505223559043,0.0825567467249071,0,0,0,0,0,3.22816603841288,2.29311607694459,AT1G05805,AT1G05805
AT1G69030,5.64983792139554,0.410920759661301,0.120856558297389,0.162130297721146,0.301310724101079,0.0325855930397284,0.00720591195330247,0.793173403024398,0.143402743607291,3.13475362455946,0.543498305430444,AT1G69030,AT1G69030
AT5G48560,5.87704141794073,0.569880540725742,0.0280087272419162,0.164057860875016,0.0951365457409923,0.0383547310795871,0.138869733116126,0,0.174961065414148,3.11854812362417,1.54922409012303,AT5G48560,AT5G48560
AIL5,5.29134111841797,0.474787516141773,0.0166018831354523,0.107455523130935,0.0400844706894529,0,0.0222007453732614,0,0,3.10454348059592,1.52566749935117,AT5G57390,AIL5
WRKY11,5.3112011786292,0.758932192161885,0.333131626622352,0.173381395394451,0.166824582478834,0.111499755765784,0.260780670344658,0.200353941438394,0.0550425650581614,2.79360474728702,0.457649702077657,AT4G31550,WRKY11
AT3G60670,4.49120110226746,0.19804070145053,0,0.0981824107129631,0.00382409177820268,0,0.00411884865366759,0,0,2.62893019558182,1.55810485409028,AT3G60670,AT3G60670
LBD4,4.62110872235945,0.734100686339974,0.0390183971106898,0.263328247441006,0.148908920261233,0,0,0,0.0189695841092489,2.34840113706978,1.06838175002753,AT1G31320,LBD4
AT1G21000,4.4136755361874,0.187640468418734,0.0535460954832549,0,0.00860420650095603,0.208504161944507,0.434159715953558,0,0.359134918762738,2.31994697521826,0.84213899390539,AT1G21000,AT1G21000
AT5G62610,4.09891221487527,0.529852005349239,0.169729961888865,0.159883801551131,0.157210321810522,0.0238036031891698,0,0.0393282864827141,0.123812280961098,2.15256027149652,0.742731682146009,AT5G62610,AT5G62610
AT1G09250,4.00287199782385,0.447670143119782,0.0631717568508303,0.318257132233203,0.257940442833006,0.0699152889988423,0.041396054119597,0,0.100285398828647,2.07549438775392,0.628741393086025,AT1G09250,AT1G09250
GRF2,2.38654116660311,0.371990825918641,0.163265492840327,0.152984134978594,0.0612510265535177,0.02664961549025,0,0,0.0238953610469935,1.48799039069414,0.0985143190806444,AT4G37740,GRF2
HSF A4A,2.22844055421795,0.067691980398069,0.0184638450873905,0.0615574328587755,0.15937277885271,0.00701262272089762,0.023786766409326,0,0.0202962722998409,1.17341979344348,0.696839062147457,AT4G18880,HSF A4A
AGL20,1.67623844572389,0.055747997402035,0,0.0325669930525724,0.0236009542059364,0,0,0,0,1.146423682711,0.417898818352343,AT2G45660,AGL20
TOE3,2.05673438212602,0.112610322440488,0,0.315068859118913,0.125307966055297,0,0.0040594243268338,0.0240696185032286,0.0286098735568663,1.08152050924235,0.365487808882044,AT5G67180,TOE3
NAC016,1.56040193019152,0,0,0,0,0,0,0,0,0.801524240351101,0.758877689840421,AT1G34180,NAC016
MYB3R-4,1.18447203007208,0.123114285985284,0,0.127209030174649,0.0319635285340939,0.0447765037077726,0.0165619283587496,0,0.00780881440099317,0.659143498999099,0.173894439911436,AT5G11510,MYB3R-4
AGL94,1.22109107098649,0.0450133506530995,0,0,0,0,0,0,0,0.615888474206899,0.560189246126493,AT1G69540,AGL94
HDG2,0.426117787623342,0.0584361694450458,0.0166018831354523,0,0,0,0,0,0,0.248885013172484,0.102194721870361,AT1G05230,HDG2
AT2G20110,0.282612672276597,0.0161109908349571,0,0.0107914734768246,0.00669216061185469,0,0.0109637883008357,0,0,0.142870874803006,0.0951833842491191,AT2G20110,AT2G20110
AT5G25790,0.198890384252236,0,0,0,0.00669216061185469,0,0,0,0,0.105738326158493,0.0864598974818882,AT5G25790,AT5G25790
NAC063,0.121166254466813,0.0229088436992442,0.00329389834457778,0,0,0,0,0.00755783964673469,0,0.0874056727762565,0,AT3G55210,NAC063
HSFC1,0.105923307668746,0,0,0,0,0.00859240155186129,0.0189941527654815,0,0.00781502172563625,0.0532034066809327,0.0173183249448342,AT3G24520,HSFC1
AT3G19184,0.0795820415824763,0,0.0190695294977053,0,0,0,0,0,0.0141539000909282,0.0463586119938427,0,AT3G19184,AT3G19184
AT2G23060,0.00536039452503704,0,0,0,0,0,0,0,0,0.00536039452503704,0,AT2G23060,AT2G23060
