"","gene_id","gene_type","gene_short_name","chr"
"ENSMUSG00000051951","ENSMUSG00000051951","protein_coding","Xkr4","chr1"
"ENSMUSG00000102343","ENSMUSG00000102343","lincRNA","Gm37381","chr1"
"ENSMUSG00000025900","ENSMUSG00000025900","protein_coding","Rp1","chr1"
"ENSMUSG00000025902","ENSMUSG00000025902","protein_coding","Sox17","chr1"
"ENSMUSG00000104328","ENSMUSG00000104328","lincRNA","Gm37323","chr1"
"ENSMUSG00000033845","ENSMUSG00000033845","protein_coding","Mrpl15","chr1"
"ENSMUSG00000025903","ENSMUSG00000025903","protein_coding","Lypla1","chr1"
"ENSMUSG00000104217","ENSMUSG00000104217","protein_coding","Gm37988","chr1"
"ENSMUSG00000033813","ENSMUSG00000033813","protein_coding","Tcea1","chr1"
"ENSMUSG00000002459","ENSMUSG00000002459","protein_coding","Rgs20","chr1"
"ENSMUSG00000033793","ENSMUSG00000033793","protein_coding","Atp6v1h","chr1"
"ENSMUSG00000025905","ENSMUSG00000025905","protein_coding","Oprk1","chr1"
"ENSMUSG00000033774","ENSMUSG00000033774","protein_coding","Npbwr1","chr1"
"ENSMUSG00000025907","ENSMUSG00000025907","protein_coding","Rb1cc1","chr1"
"ENSMUSG00000087247","ENSMUSG00000087247","protein_coding","Fam150a","chr1"
"ENSMUSG00000033740","ENSMUSG00000033740","protein_coding","St18","chr1"
"ENSMUSG00000051285","ENSMUSG00000051285","protein_coding","Pcmtd1","chr1"
"ENSMUSG00000097797","ENSMUSG00000097797","lincRNA","Gm26901","chr1"
"ENSMUSG00000103067","ENSMUSG00000103067","lincRNA","Gm30414","chr1"
"ENSMUSG00000025909","ENSMUSG00000025909","protein_coding","Sntg1","chr1"
"ENSMUSG00000061024","ENSMUSG00000061024","protein_coding","Rrs1","chr1"
"ENSMUSG00000025911","ENSMUSG00000025911","protein_coding","Adhfe1","chr1"
"ENSMUSG00000067879","ENSMUSG00000067879","protein_coding","3110035E14Rik","chr1"
"ENSMUSG00000099827","ENSMUSG00000099827","lincRNA","Gm29520","chr1"
"ENSMUSG00000025912","ENSMUSG00000025912","protein_coding","Mybl1","chr1"
"ENSMUSG00000045210","ENSMUSG00000045210","protein_coding","Vcpip1","chr1"
"ENSMUSG00000025915","ENSMUSG00000025915","protein_coding","Sgk3","chr1"
"ENSMUSG00000046101","ENSMUSG00000046101","protein_coding","Mcmdc2","chr1"
"ENSMUSG00000098234","ENSMUSG00000098234","lincRNA","Snhg6","chr1"
"ENSMUSG00000099032","ENSMUSG00000099032","protein_coding","Tcf24","chr1"
"ENSMUSG00000025916","ENSMUSG00000025916","protein_coding","Ppp1r42","chr1"
"ENSMUSG00000025917","ENSMUSG00000025917","protein_coding","Cops5","chr1"
"ENSMUSG00000056763","ENSMUSG00000056763","protein_coding","Cspp1","chr1"
"ENSMUSG00000067851","ENSMUSG00000067851","protein_coding","Arfgef1","chr1"
"ENSMUSG00000042501","ENSMUSG00000042501","protein_coding","Cpa6","chr1"
"ENSMUSG00000048960","ENSMUSG00000048960","protein_coding","Prex2","chr1"
"ENSMUSG00000057715","ENSMUSG00000057715","protein_coding","A830018L16Rik","chr1"
"ENSMUSG00000097171","ENSMUSG00000097171","lincRNA","Gm17644","chr1"
